sit,,Mid,Mid,Mid
Production per timestep [MWh],,Curtailment,Gas plant,Photovoltaics
stf,t,,,
2019,1,0.0,43102.4900625,0.0
2019,2,0.0,41692.002871,0.0
2019,3,0.0,40592.8221168,0.0
2019,4,0.0,40218.1014052,0.0
2019,5,0.0,39606.0575761,0.0
2019,6,0.0,37483.6010325,0.0
2019,7,0.0,37678.647967,0.0
2019,8,0.0,38082.1933488,0.0
2019,9,0.0,39738.7986282,235.253903173
2019,10,0.0,41005.6455676,1324.3433355
2019,11,0.0,43548.0047868,1831.63421562
2019,12,0.0,44266.4469404,2125.89880581
2019,13,0.0,44088.6654325,2510.2571163
2019,14,0.0,43911.0052534,1891.39557761
2019,15,0.0,44879.0835245,895.453458702
2019,16,0.0,48060.704239,37.1011563901
2019,17,0.0,52560.8251533,0.0
2019,18,0.0,53885.7991568,0.0
2019,19,0.0,53289.1284852,0.0
2019,20,0.0,51142.6513831,0.0
2019,21,0.0,50796.7553416,0.0
2019,22,0.0,51205.104835,0.0
2019,23,0.0,47946.9562884,0.0
2019,24,0.0,44986.6626664,0.0
2019,25,0.0,42641.2953405,0.0
2019,26,0.0,41620.902018,0.0
2019,27,0.0,41525.7806066,0.0
2019,28,0.0,41841.8911556,0.0
2019,29,0.0,43825.0284603,0.0
2019,30,0.0,48708.8884021,0.0
2019,31,0.0,54815.8751795,0.0
2019,32,0.0,58782.149789,0.0
2019,33,0.0,59730.5230499,1106.82571903
2019,34,0.0,60296.7301951,2297.00180689
2019,35,0.0,61855.4274211,2763.71806844
2019,36,0.0,61872.3035823,2970.71351196
2019,37,0.0,61890.6884785,2347.97136536
2019,38,0.0,61981.5171281,1669.11944519
2019,39,0.0,62262.3649743,842.524511314
2019,40,0.0,64593.4032645,12.2907123021
2019,41,0.0,66920.314988,0.0
2019,42,0.0,66566.7323678,0.0
2019,43,0.0,64395.2738849,0.0
2019,44,0.0,60880.5857742,0.0
2019,45,0.0,59128.0458305,0.0
2019,46,0.0,58004.8445179,0.0
2019,47,0.0,53479.371308,0.0
2019,48,0.0,49534.23479,0.0
2019,49,0.0,47558.784064,0.0
2019,50,0.0,46482.663046,0.0
2019,51,0.0,46549.9206096,0.0
2019,52,0.0,47392.5617996,0.0
2019,53,0.0,49123.9636519,0.0
2019,54,0.0,52818.3255398,0.0
2019,55,0.0,58345.9364477,0.0
2019,56,0.0,61551.2397658,0.0
2019,57,0.0,62164.8884766,580.653454792
2019,58,0.0,61882.3952506,2137.19710035
2019,59,0.0,62271.6671578,3137.27429327
2019,60,0.0,61644.4616873,3517.54842297
2019,61,0.0,59852.4081165,4699.47980941
2019,62,0.0,60331.4551586,3424.87187182
2019,63,0.0,61535.4730717,1612.65341911
2019,64,0.0,64581.919037,333.159732535
2019,65,0.0,67994.5143614,0.0
2019,66,0.0,67590.0081573,0.0
2019,67,0.0,65815.3692998,0.0
2019,68,0.0,62664.832855,0.0
2019,69,0.0,60686.499662,0.0
2019,70,0.0,59676.6753852,0.0
2019,71,0.0,55204.0474039,0.0
2019,72,0.0,50770.8131385,0.0
2019,73,0.0,48624.3360364,0.0
2019,74,0.0,47705.7898817,0.0
2019,75,0.0,47996.91905,0.0
2019,76,0.0,48779.0284327,0.0
2019,77,0.0,50507.547818,0.0
2019,78,0.0,54645.8096258,0.0
2019,79,0.0,60432.8425649,0.0
2019,80,0.0,64002.2975489,0.0
2019,81,0.0,64768.7390057,507.608962736
2019,82,0.0,65293.1359095,1244.77178816
2019,83,0.0,66367.8722584,1830.33643855
2019,84,0.0,65678.2996089,2169.20893488
2019,85,0.0,65095.2610387,1806.79832493
2019,86,0.0,64472.707481,1212.9508032
2019,87,0.0,64905.3233961,542.050948452
2019,88,0.0,66619.801744,6.50160868152
2019,89,0.0,69349.2738573,0.0
2019,90,0.0,69207.0721514,0.0
2019,91,0.0,67245.0729381,0.0
2019,92,0.0,63883.155579,0.0
2019,93,0.0,61902.9007413,0.0
2019,94,0.0,60356.9376002,0.0
2019,95,0.0,55965.9795176,0.0
2019,96,0.0,52349.4442391,0.0
2019,97,0.0,49994.4686897,0.0
2019,98,0.0,48849.1684634,0.0
2019,99,0.0,48658.9256405,0.0
2019,100,0.0,49517.9008103,0.0
