sit,Mid,Mid,North,North,South,South
pro,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2019-06-26 17:00:00,57593.0529413,3390.34082297,10370.6832807,466.961029442,3556.23293474,2275.08010348
2019-06-26 18:00:00,57509.3206557,1118.13673687,10117.3774906,305.396453855,5036.52821693,662.066459106
2019-06-26 19:00:00,57348.1692282,24.4541915575,9985.87948777,161.564575588,5600.66746184,61.0610024782
2019-06-26 20:00:00,55686.3802174,0.0,9836.58771304,64.0347403244,5579.70114325,0.0
2019-06-26 21:00:00,51287.7355561,0.0,9431.06921387,21.6732967252,5915.18366987,0.0
2019-06-26 22:00:00,48144.8856899,0.0,8907.51595643,11.8217982137,5580.62279855,0.0
2019-06-26 23:00:00,46288.5769338,0.0,8644.93977558,11.8217982137,4974.17361581,0.0
2019-06-27 00:00:00,45243.2022305,0.0,8474.07183354,23.6435964275,4512.42431407,0.0
2019-06-27 01:00:00,45587.1766274,0.0,8411.60642992,43.3465934503,4246.98758971,0.0
2019-06-27 02:00:00,46488.42798,0.0,8314.29741283,73.8862388358,4118.877504,0.0
2019-06-27 03:00:00,48726.3129912,11.4000809758,8555.6545078,125.114031095,4011.96549002,0.0
2019-06-27 04:00:00,54867.9838719,437.910699805,9520.28878847,229.539915317,4020.26038766,0.0
2019-06-27 05:00:00,59381.5976724,1994.77242798,10520.1598188,381.252992393,3968.40417628,58.3077984276
2019-06-27 06:00:00,60160.9207733,4496.65760981,10862.627188,584.193861728,3569.82375911,527.855673146
2019-06-27 07:00:00,58437.0821727,6955.52529859,10851.3708441,779.253532255,3070.58173106,1709.12261795
2019-06-27 08:00:00,57002.1845173,9905.63978031,10837.5756671,988.105300697,2825.87087335,2889.31359796
2019-06-27 09:00:00,55938.5729942,12431.6229012,10758.0040951,1180.20952167,2532.31712653,3527.56642433
2019-06-27 10:00:00,53229.9186043,14323.5783042,10600.4333668,1325.02654979,2381.64002129,3846.90644817
2019-06-27 11:00:00,51130.3819257,15472.8616909,10399.4721634,1412.70488654,2348.68767004,4007.96888513
