",South,South,South,Mid,Mid,Mid,North,North,North"
"Timestep,Gas,PV,PHS,Gas,PV,PHS,Gas,PV,PHS"
1462.00,6562.00,0.00,0.00,57476.00,0.00,0.00,13394.00,0.00,0.00
1463.00,6217.00,0.00,0.00,53586.00,0.00,0.00,12776.00,0.00,0.00
1464.00,5959.00,0.00,0.00,50171.00,0.00,0.00,12340.00,0.00,0.00
1465.00,5309.00,0.00,0.00,48151.00,0.00,0.00,12037.00,0.00,0.00
1466.00,4837.00,0.00,0.00,46770.00,0.00,0.00,11886.00,0.00,0.00
1467.00,4499.00,0.00,0.00,46115.00,0.00,0.00,11826.00,0.00,0.00
1468.00,4264.00,0.00,0.00,45851.00,0.00,0.00,11889.00,0.00,0.00
1469.00,4176.00,0.00,0.00,45638.00,0.00,0.00,12097.00,0.00,0.00
1470.00,4108.00,0.00,0.00,45604.00,0.00,0.00,12499.00,0.00,0.00
1471.00,4067.00,6.00,0.00,46737.00,1290.00,0.00,12646.60,112.40,0.00
1472.00,3690.40,471.60,0.00,50525.00,1300.00,0.00,13010.40,345.60,0.00
1473.00,2215.40,1974.60,0.00,52069.00,2440.00,0.00,13301.60,492.40,0.00
1474.00,1411.00,3363.00,0.00,52621.00,3830.00,0.00,13405.80,641.20,0.00
1475.00,1204.00,3972.00,0.00,52435.00,5060.00,0.00,13216.20,752.80,0.00
1476.00,1099.40,4191.60,0.00,50393.00,5525.00,0.00,13065.80,771.20,0.00
1477.00,1270.60,4166.40,0.00,48267.00,5710.00,0.00,12820.40,755.60,0.00
1478.00,1099.00,4224.00,0.00,46579.00,5350.00,0.00,12836.00,594.00,0.00
1479.00,1045.60,4136.40,0.00,47660.00,4080.00,0.00,13032.00,388.00,0.00
1480.00,1311.20,3823.80,0.00,49344.00,2270.00,0.00,13452.60,178.40,0.00
1481.00,1975.80,2989.20,0.00,52993.00,595.00,0.00,14242.20,20.80,0.00
1482.00,3726.80,1189.20,0.00,57419.00,70.00,0.00,14889.00,0.00,0.00
1483.00,4885.40,120.60,0.00,56901.00,0.00,0.00,14632.00,0.00,0.00
1484.00,5783.40,0.60,0.00,52973.00,0.00,0.00,14114.00,0.00,0.00
1485.00,6064.00,0.00,0.00,50922.00,0.00,0.00,13598.00,0.00,0.00
1486.00,5924.00,0.00,0.00,51431.00,0.00,0.00,13217.00,0.00,0.00
1487.00,5641.00,0.00,0.00,48292.00,0.00,0.00,12733.00,0.00,0.00
1488.00,5429.00,0.00,0.00,44889.00,0.00,0.00,12412.00,0.00,0.00
1489.00,4994.00,0.00,0.00,42475.00,0.00,0.00,12207.00,0.00,0.00
1490.00,4500.00,0.00,0.00,41263.00,0.00,0.00,12102.00,0.00,0.00
1491.00,4098.00,0.00,0.00,41165.00,0.00,0.00,12052.00,0.00,0.00
1492.00,3936.00,0.00,0.00,41527.00,0.00,0.00,12093.00,0.00,0.00
1493.00,3826.00,0.00,0.00,40737.00,0.00,0.00,12260.00,0.00,0.00
1494.00,3804.00,0.00,0.00,38387.00,0.00,0.00,12490.00,0.00,0.00
1495.00,3792.40,6.60,0.00,36188.00,2665.00,0.00,12602.00,68.00,0.00
1496.00,3286.40,489.60,0.00,35054.00,7350.00,0.00,12730.60,360.40,0.00
1497.00,1680.80,1996.20,0.00,33402.00,11635.00,0.00,12826.40,555.60,0.00
1498.00,658.00,3378.00,0.00,31559.00,15775.00,0.00,12801.20,748.80,0.00
1499.00,482.60,3977.40,0.00,31341.00,18520.00,0.00,12681.00,860.00,0.00
1500.00,609.20,4195.80,0.00,28828.00,19620.00,0.00,12541.20,870.80,0.00
1501.00,839.20,4186.80,0.00,26388.00,19500.00,0.00,12322.40,949.60,0.00
1502.00,835.60,4244.40,0.00,26142.00,17665.00,0.00,12354.60,772.40,0.00
1503.00,694.80,4135.20,0.00,28506.00,14285.00,0.00,12649.80,511.20,0.00
1504.00,915.00,3825.00,0.00,33263.00,9565.00,0.00,13118.80,251.20,0.00
1505.00,1517.40,3006.60,0.00,42477.00,3325.00,0.00,14030.40,29.60,0.00
1506.00,3226.60,1217.40,0.00,53005.00,50.00,0.00,14876.20,0.80,0.00
1507.00,4487.60,128.40,0.00,54468.00,0.00,0.00,14837.00,0.00,0.00
1508.00,5571.40,0.60,0.00,51746.00,0.00,0.00,14460.00,0.00,0.00
1509.00,5867.00,0.00,0.00,50670.00,0.00,0.00,14052.00,0.00,0.00
1510.00,5857.00,0.00,0.00,51493.00,0.00,0.00,13374.00,0.00,0.00
1511.00,5719.00,0.00,0.00,48067.00,0.00,0.00,12836.00,0.00,0.00
1512.00,5361.00,0.00,0.00,45388.00,0.00,0.00,12463.00,0.00,0.00
1513.00,4752.00,0.00,0.00,43880.00,0.00,0.00,12326.00,0.00,0.00
1514.00,4412.00,0.00,0.00,43278.00,0.00,0.00,12229.00,0.00,0.00
1515.00,4091.00,0.00,0.00,44035.00,0.00,0.00,12324.00,0.00,0.00
1516.00,3966.00,0.00,0.00,45709.00,0.00,0.00,12671.00,0.00,0.00
1517.00,3862.00,0.00,0.00,49291.00,0.00,0.00,13339.00,0.00,0.00
1518.00,3920.00,0.00,0.00,57178.00,0.00,0.00,14737.00,0.00,0.00
1519.00,4071.40,6.60,0.00,59977.00,3140.00,0.00,15727.40,165.60,0.00
1520.00,3953.40,459.60,0.00,60254.00,5500.00,0.00,15734.60,492.40,0.00
1521.00,3121.00,1920.00,0.00,59058.00,7395.00,0.00,15532.20,622.80,0.00
1522.00,2741.20,3313.80,0.00,58359.00,8615.00,0.00,15361.40,747.60,0.00
1523.00,2335.00,3933.00,0.00,59016.00,9310.00,0.00,15122.60,832.40,0.00
1524.00,2351.20,4168.80,0.00,58413.00,8990.00,0.00,14967.60,848.40,0.00
1525.00,2412.60,4157.40,0.00,59001.00,8160.00,0.00,14843.80,787.20,0.00
1526.00,1822.60,4229.40,0.00,59580.00,6455.00,0.00,15004.40,563.60,0.00
1527.00,2156.00,4107.00,0.00,60293.00,5015.00,0.00,15371.20,332.80,0.00
1528.00,2624.00,3798.00,0.00,59928.00,3340.00,0.00,15606.80,125.20,0.00
1529.00,3391.60,2957.40,0.00,62226.00,1120.00,0.00,16149.00,8.00,0.00
1530.00,5145.20,1195.80,0.00,67328.00,5.00,0.00,16449.00,0.00,0.00
1531.00,6063.80,133.20,0.00,68320.00,0.00,0.00,16196.00,0.00,0.00
1532.00,6871.40,0.60,0.00,63832.00,0.00,0.00,15641.00,0.00,0.00
1533.00,6992.00,0.00,0.00,60880.00,0.00,0.00,14993.00,0.00,0.00
1534.00,6704.00,0.00,0.00,58654.00,0.00,0.00,14100.00,0.00,0.00
1535.00,6465.00,0.00,0.00,53564.00,0.00,0.00,13271.00,0.00,0.00
1536.00,6055.00,0.00,0.00,49966.00,0.00,0.00,12701.00,0.00,0.00
1537.00,5345.00,0.00,0.00,47957.00,0.00,0.00,12441.00,0.00,0.00
1538.00,4841.00,0.00,0.00,47305.00,0.00,0.00,12373.00,0.00,0.00
1539.00,4562.00,0.00,0.00,47958.00,0.00,0.00,12455.00,0.00,0.00
1540.00,4331.00,0.00,0.00,49173.00,0.00,0.00,12610.00,0.00,0.00
1541.00,4297.00,0.00,0.00,52053.00,0.00,0.00,13200.00,0.00,0.00
1542.00,4243.00,0.00,0.00,58445.00,0.00,0.00,14619.00,0.00,0.00
1543.00,4347.60,8.40,0.00,60044.00,3265.00,0.00,15515.00,124.00,0.00
1544.00,4211.40,420.60,0.00,58896.00,6545.00,0.00,15566.20,404.80,0.00
1545.00,3613.00,1704.00,0.00,56150.00,9475.00,0.00,15352.20,600.80,0.00
1546.00,3187.80,3046.20,0.00,53396.00,12070.00,0.00,15167.80,779.20,0.00
1547.00,2786.00,3771.00,0.00,53571.00,13820.00,0.00,14987.40,875.60,0.00
1548.00,2708.20,4078.80,0.00,52248.00,14650.00,0.00,14891.00,852.00,0.00
1549.00,2752.40,4113.60,0.00,53179.00,13445.00,0.00,14861.40,749.60,0.00
1550.00,2251.20,4156.80,0.00,53838.00,11775.00,0.00,14970.60,572.40,0.00
1551.00,2593.60,4043.40,0.00,55215.00,9085.00,0.00,15189.00,338.00,0.00
1552.00,3051.40,3720.60,0.00,57610.00,5575.00,0.00,15312.00,124.00,0.00
1553.00,3936.60,2825.40,0.00,62154.00,1890.00,0.00,15761.20,6.80,0.00
1554.00,5595.80,1120.20,0.00,68046.00,140.00,0.00,16130.00,0.00,0.00
1555.00,6431.00,132.00,0.00,68082.00,0.00,0.00,15771.00,0.00,0.00
1556.00,7075.40,0.60,0.00,63861.00,0.00,0.00,15259.00,0.00,0.00
1557.00,7128.00,0.00,0.00,60383.00,0.00,0.00,14537.00,0.00,0.00
1558.00,6833.00,0.00,0.00,58035.00,0.00,0.00,13633.00,0.00,0.00
1559.00,6598.00,0.00,0.00,53187.00,0.00,0.00,12770.00,0.00,0.00
1560.00,6127.00,0.00,0.00,49158.00,0.00,0.00,12229.00,0.00,0.00
1561.00,5327.00,0.00,0.00,46875.00,0.00,0.00,12003.00,0.00,0.00
1562.00,4823.00,0.00,0.00,45598.00,0.00,0.00,11911.00,0.00,0.00
1563.00,4494.00,0.00,0.00,46106.00,0.00,0.00,11871.00,0.00,0.00
1564.00,4337.00,0.00,0.00,47647.00,0.00,0.00,12055.00,0.00,0.00
1565.00,4292.00,0.00,0.00,50442.00,0.00,0.00,12630.00,0.00,0.00
1566.00,4272.00,0.00,0.00,57443.00,0.00,0.00,14000.00,0.00,0.00
1567.00,4339.20,7.80,0.00,59805.00,2680.00,0.00,15037.00,126.00,0.00
1568.00,4234.60,428.40,0.00,61794.00,2930.00,0.00,15184.60,358.40,0.00
1569.00,3429.20,1870.80,0.00,59407.00,5510.00,0.00,15016.00,538.00,0.00
1570.00,2930.80,3226.20,0.00,57359.00,8325.00,0.00,14910.80,721.20,0.00
1571.00,2553.40,3834.60,0.00,56788.00,10180.00,0.00,14775.00,854.00,0.00
1572.00,2443.40,4050.60,0.00,55298.00,10880.00,0.00,14625.60,892.40,0.00
1573.00,2493.00,4014.00,0.00,54174.00,11280.00,0.00,14538.80,921.20,0.00
1574.00,2083.60,3986.40,0.00,54312.00,9940.00,0.00,14600.20,740.80,0.00
1575.00,2404.20,3805.80,0.00,55988.00,7315.00,0.00,14843.60,514.40,0.00
1576.00,2873.20,3463.80,0.00,57843.00,4035.00,0.00,14911.00,254.00,0.00
1577.00,3633.40,2673.60,0.00,61286.00,1215.00,0.00,15495.80,55.20,0.00
1578.00,5128.60,1109.40,0.00,66573.00,0.00,0.00,15758.00,2.00,0.00
1579.00,5889.20,139.80,0.00,67500.00,0.00,0.00,15480.00,0.00,0.00
1580.00,6719.40,0.60,0.00,63469.00,0.00,0.00,14934.00,0.00,0.00
1581.00,6954.00,0.00,0.00,60328.00,0.00,0.00,14208.00,0.00,0.00
1582.00,6710.00,0.00,0.00,58352.00,0.00,0.00,13343.00,0.00,0.00
1583.00,6382.00,0.00,0.00,53231.00,0.00,0.00,12505.00,0.00,0.00
1584.00,6035.00,0.00,0.00,49361.00,0.00,0.00,11980.00,0.00,0.00
1585.00,5299.00,0.00,0.00,46875.00,0.00,0.00,11792.00,0.00,0.00
1586.00,4805.00,0.00,0.00,46240.00,0.00,0.00,11657.00,0.00,0.00
1587.00,4466.00,0.00,0.00,47035.00,0.00,0.00,11646.00,0.00,0.00
1588.00,4292.00,0.00,0.00,48416.00,0.00,0.00,11853.00,0.00,0.00
1589.00,4216.00,0.00,0.00,50744.00,0.00,0.00,12475.00,0.00,0.00
1590.00,4206.00,0.00,0.00,57029.00,0.00,0.00,13756.00,0.00,0.00
1591.00,4300.20,10.80,0.00,59685.00,2175.00,0.00,14667.40,105.60,0.00
1592.00,3978.60,527.40,0.00,59483.00,4620.00,0.00,14694.40,415.60,0.00
1593.00,3131.20,2053.80,0.00,56340.00,7610.00,0.00,14433.60,624.40,0.00
1594.00,2750.80,3361.20,0.00,53597.00,10795.00,0.00,14266.60,840.40,0.00
1595.00,2364.40,3951.60,0.00,52564.00,12860.00,0.00,14097.00,988.00,0.00
1596.00,2203.00,4185.00,0.00,52292.00,12600.00,0.00,13886.00,1056.00,0.00
1597.00,2252.40,4176.60,0.00,51213.00,13355.00,0.00,13802.80,1107.20,0.00
1598.00,1667.80,4255.20,0.00,52024.00,11795.00,0.00,13928.20,942.80,0.00
1599.00,1922.00,4152.00,0.00,54320.00,8890.00,0.00,14182.00,732.00,0.00
1600.00,2374.20,3856.80,0.00,56190.00,5615.00,0.00,14342.40,427.60,0.00
1601.00,3044.80,3070.20,0.00,59839.00,2080.00,0.00,14980.40,101.60,0.00
1602.00,4746.40,1296.60,0.00,65767.00,55.00,0.00,15508.00,0.00,0.00
1603.00,5704.20,148.80,0.00,67021.00,0.00,0.00,15343.00,0.00,0.00
1604.00,6534.40,0.60,0.00,62857.00,0.00,0.00,14890.00,0.00,0.00
1605.00,6848.00,0.00,0.00,59685.00,0.00,0.00,14346.00,0.00,0.00
1606.00,6577.00,0.00,0.00,57571.00,0.00,0.00,13532.00,0.00,0.00
1607.00,6349.00,0.00,0.00,52701.00,0.00,0.00,12652.00,0.00,0.00
1608.00,5925.00,0.00,0.00,48895.00,0.00,0.00,12205.00,0.00,0.00
1609.00,5210.00,0.00,0.00,46920.00,0.00,0.00,11979.00,0.00,0.00
1610.00,4678.00,0.00,0.00,46413.00,0.00,0.00,11810.00,0.00,0.00
1611.00,4426.00,0.00,0.00,47232.00,0.00,0.00,11826.00,0.00,0.00
1612.00,4267.00,0.00,0.00,48409.00,0.00,0.00,12067.00,0.00,0.00
1613.00,4182.00,0.00,0.00,50887.00,0.00,0.00,12727.00,0.00,0.00
1614.00,4147.00,0.00,0.00,57121.00,0.00,0.00,14079.00,0.00,0.00
1615.00,4249.20,13.80,0.00,57600.00,3990.00,0.00,15141.00,120.00,0.00
1616.00,3899.80,583.20,0.00,55850.00,7865.00,0.00,15236.20,352.80,0.00
1617.00,3039.40,2145.60,0.00,52028.00,11695.00,0.00,15188.00,452.00,0.00
1618.00,2570.40,3435.60,0.00,49546.00,14805.00,0.00,15096.20,550.80,0.00
1619.00,2247.40,3993.60,0.00,48934.00,16180.00,0.00,15050.20,622.80,0.00
1620.00,2082.80,4210.20,0.00,48984.00,15580.00,0.00,14699.00,652.00,0.00
1621.00,2121.20,4210.80,0.00,51060.00,12575.00,0.00,14335.40,683.60,0.00
1622.00,1583.80,4258.20,0.00,52436.00,10145.00,0.00,14243.00,590.00,0.00
1623.00,1843.00,4134.00,0.00,54146.00,7845.00,0.00,14203.60,440.40,0.00
1624.00,2218.00,3813.00,0.00,56076.00,4945.00,0.00,14295.40,221.60,0.00
1625.00,2986.60,2981.40,0.00,60416.00,1555.00,0.00,14854.60,52.40,0.00
1626.00,4645.80,1216.20,0.00,65341.00,20.00,0.00,15245.20,0.80,0.00
1627.00,5506.60,134.40,0.00,64953.00,0.00,0.00,14844.00,0.00,0.00
1628.00,6259.40,0.60,0.00,60614.00,0.00,0.00,14139.00,0.00,0.00
1629.00,6570.00,0.00,0.00,57886.00,0.00,0.00,13555.00,0.00,0.00
1630.00,6385.00,0.00,0.00,56241.00,0.00,0.00,12936.00,0.00,0.00
1631.00,6096.00,0.00,0.00,52166.00,0.00,0.00,12250.00,0.00,0.00
1632.00,5761.00,0.00,0.00,48513.00,0.00,0.00,11764.00,0.00,0.00
1633.00,5118.00,0.00,0.00,46185.00,0.00,0.00,11546.00,0.00,0.00
1634.00,4657.00,0.00,0.00,45162.00,0.00,0.00,11399.00,0.00,0.00
1635.00,4322.00,0.00,0.00,45256.00,0.00,0.00,11403.00,0.00,0.00
1636.00,4156.00,0.00,0.00,45626.00,0.00,0.00,11460.00,0.00,0.00
1637.00,4033.00,0.00,0.00,45508.00,0.00,0.00,11718.00,0.00,0.00
1638.00,3979.00,0.00,0.00,44925.00,0.00,0.00,11928.00,0.00,0.00
1639.00,3955.00,18.00,0.00,45311.00,2200.00,0.00,12084.80,185.20,0.00
1640.00,3270.60,614.40,0.00,47449.00,3980.00,0.00,12438.60,358.40,0.00
1641.00,1914.20,2149.80,0.00,47052.00,6735.00,0.00,12684.20,490.80,0.00
1642.00,1174.40,3411.60,0.00,46044.00,9195.00,0.00,12758.40,563.60,0.00
1643.00,882.80,3994.20,0.00,45068.00,11130.00,0.00,12678.40,565.60,0.00
1644.00,777.80,4225.20,0.00,41880.00,12680.00,0.00,12587.60,512.40,0.00
1645.00,859.40,4236.60,0.00,38652.00,13695.00,0.00,12540.20,478.80,0.00
1646.00,748.60,4253.40,0.00,37277.00,12855.00,0.00,12496.40,411.60,0.00
1647.00,774.00,4110.00,0.00,38816.00,10760.00,0.00,12653.00,320.00,0.00
1648.00,1031.80,3775.20,0.00,42186.00,7175.00,0.00,13048.80,181.20,0.00
1649.00,1713.40,2943.60,0.00,48023.00,2975.00,0.00,13653.80,49.20,0.00
1650.00,3480.00,1149.00,0.00,55632.00,20.00,0.00,14205.00,0.00,0.00
1651.00,4541.40,111.60,0.00,57119.00,0.00,0.00,13897.00,0.00,0.00
1652.00,5510.40,0.60,0.00,53530.00,0.00,0.00,13278.00,0.00,0.00
1653.00,5901.00,0.00,0.00,51579.00,0.00,0.00,12734.00,0.00,0.00
1654.00,5688.00,0.00,0.00,51704.00,0.00,0.00,12359.00,0.00,0.00
1655.00,5460.00,0.00,0.00,48406.00,0.00,0.00,11789.00,0.00,0.00
1656.00,5177.00,0.00,0.00,45170.00,0.00,0.00,11475.00,0.00,0.00
1657.00,4784.00,0.00,0.00,42839.00,0.00,0.00,11235.00,0.00,0.00
1658.00,4343.00,0.00,0.00,41867.00,0.00,0.00,11138.00,0.00,0.00
1659.00,3994.00,0.00,0.00,41836.00,0.00,0.00,11135.00,0.00,0.00
1660.00,3766.00,0.00,0.00,41953.00,0.00,0.00,11151.00,0.00,0.00
1661.00,3690.00,0.00,0.00,41141.00,0.00,0.00,11265.00,0.00,0.00
1662.00,3655.00,0.00,0.00,38778.00,0.00,0.00,11330.00,0.00,0.00
1663.00,3656.00,21.00,0.00,33943.00,5750.00,0.00,11298.80,189.20,0.00
1664.00,2806.00,636.00,0.00,33189.00,9635.00,0.00,11776.00,198.00,0.00
1665.00,1309.20,2203.80,0.00,30803.00,14505.00,0.00,12105.00,334.00,0.00
1666.00,390.40,3465.60,0.00,28373.00,18520.00,0.00,12225.60,440.40,0.00
1667.00,217.60,4016.40,0.00,28000.00,21005.00,0.00,12352.60,498.40,0.00
1668.00,252.20,4237.80,0.00,26118.00,21475.00,0.00,12207.40,495.60,0.00
1669.00,414.40,4248.60,0.00,24252.00,20885.00,0.00,11914.00,590.00,0.00
1670.00,283.40,4272.60,0.00,23926.00,19155.00,0.00,11901.80,529.20,0.00
1671.00,197.60,4145.40,0.00,26024.00,16090.00,0.00,12076.40,411.60,0.00
1672.00,402.40,3831.60,0.00,30939.00,11205.00,0.00,12457.40,221.60,0.00
1673.00,1013.00,3033.00,0.00,39443.00,5130.00,0.00,13086.80,57.20,0.00
1674.00,2762.00,1248.00,0.00,50806.00,25.00,0.00,13838.20,0.80,0.00
1675.00,3997.20,130.80,0.00,54249.00,0.00,0.00,13833.00,0.00,0.00
1676.00,5012.40,0.60,0.00,51532.00,0.00,0.00,13523.00,0.00,0.00
1677.00,5463.00,0.00,0.00,50183.00,0.00,0.00,12853.00,0.00,0.00
1678.00,5441.00,0.00,0.00,50385.00,0.00,0.00,12247.00,0.00,0.00
1679.00,5257.00,0.00,0.00,46680.00,0.00,0.00,11649.00,0.00,0.00
1680.00,4947.00,0.00,0.00,43646.00,0.00,0.00,11249.00,0.00,0.00
1681.00,4520.00,0.00,0.00,41991.00,0.00,0.00,11149.00,0.00,0.00
1682.00,4150.00,0.00,0.00,41438.00,0.00,0.00,11168.00,0.00,0.00
1683.00,3890.00,0.00,0.00,42308.00,0.00,0.00,11155.00,0.00,0.00
1684.00,3752.00,0.00,0.00,44256.00,0.00,0.00,11385.00,0.00,0.00
1685.00,3722.00,0.00,0.00,48049.00,0.00,0.00,12028.00,0.00,0.00
1686.00,3742.00,0.00,0.00,55288.00,0.00,0.00,13302.60,44.40,0.00
1687.00,3869.60,23.40,0.00,54630.00,5335.00,0.00,14266.40,283.60,0.00
1688.00,3416.00,672.00,0.00,51776.00,10305.00,0.00,14564.40,365.60,0.00
1689.00,2601.20,2197.80,0.00,47009.00,15075.00,0.00,14380.60,498.40,0.00
1690.00,2307.20,3427.80,0.00,43770.00,19085.00,0.00,14203.60,626.40,0.00
1691.00,2091.00,3993.00,0.00,42106.00,21725.00,0.00,13968.60,690.40,0.00
1692.00,2017.60,4220.40,0.00,40189.00,22915.00,0.00,13728.40,681.60,0.00
1693.00,2045.80,4246.20,0.00,39857.00,22765.00,0.00,13522.40,683.60,0.00
1694.00,1580.00,4272.00,0.00,41034.00,20345.00,0.00,13444.40,629.60,0.00
1695.00,1902.40,4152.60,0.00,43938.00,16490.00,0.00,13590.40,491.60,0.00
1696.00,2299.60,3851.40,0.00,47526.00,11685.00,0.00,13506.20,274.80,0.00
1697.00,2978.00,3072.00,0.00,54106.00,5445.00,0.00,13937.20,78.80,0.00
1698.00,4698.60,1304.40,0.00,63856.00,145.00,0.00,14718.20,0.80,0.00
1699.00,5603.80,145.20,0.00,66625.00,0.00,0.00,14740.00,0.00,0.00
1700.00,6346.40,0.60,0.00,62793.00,0.00,0.00,14182.00,0.00,0.00
1701.00,6572.00,0.00,0.00,59097.00,0.00,0.00,13598.00,0.00,0.00
1702.00,6375.00,0.00,0.00,56071.00,0.00,0.00,12693.00,0.00,0.00
1703.00,6050.00,0.00,0.00,51123.00,0.00,0.00,11804.00,0.00,0.00
1704.00,5704.00,0.00,0.00,47563.00,0.00,0.00,11286.00,0.00,0.00
1705.00,5047.00,0.00,0.00,45340.00,0.00,0.00,11085.00,0.00,0.00
1706.00,4555.00,0.00,0.00,44901.00,0.00,0.00,11008.00,0.00,0.00
1707.00,4298.00,0.00,0.00,45554.00,0.00,0.00,11037.00,0.00,0.00
1708.00,4147.00,0.00,0.00,47472.00,0.00,0.00,11262.00,0.00,0.00
1709.00,4073.00,0.00,0.00,50612.00,0.00,0.00,11915.00,0.00,0.00
1710.00,4006.00,0.00,0.00,56836.00,0.00,0.00,13113.60,52.40,0.00
1711.00,4135.80,25.20,0.00,55940.00,5490.00,0.00,13971.40,347.60,0.00
1712.00,3725.00,651.00,0.00,53394.00,9785.00,0.00,13979.00,536.00,0.00
1713.00,2888.40,2223.60,0.00,48735.00,14055.00,0.00,13538.20,800.80,0.00
1714.00,2512.60,3467.40,0.00,45159.00,18075.00,0.00,13252.40,1023.60,0.00
1715.00,2097.20,4018.80,0.00,43520.00,20460.00,0.00,12985.80,1169.20,0.00
1716.00,1967.40,4242.60,0.00,41781.00,21665.00,0.00,12823.40,1147.60,0.00
1717.00,2034.80,4249.20,0.00,41485.00,21285.00,0.00,12817.60,1028.40,0.00
1718.00,1659.00,4203.00,0.00,42435.00,19245.00,0.00,12904.20,810.80,0.00
1719.00,2018.00,4023.00,0.00,45052.00,15995.00,0.00,13165.60,576.40,0.00
1720.00,2520.20,3640.80,0.00,48762.00,11070.00,0.00,13350.60,298.40,0.00
1721.00,3290.40,2793.60,0.00,55462.00,4960.00,0.00,13870.40,103.60,0.00
1722.00,4897.80,1126.20,0.00,64738.00,50.00,0.00,14718.20,0.80,0.00
1723.00,5634.40,132.60,0.00,67014.00,0.00,0.00,14738.00,0.00,0.00
1724.00,6300.40,0.60,0.00,62990.00,0.00,0.00,14367.00,0.00,0.00
1725.00,6623.00,0.00,0.00,59164.00,0.00,0.00,13722.00,0.00,0.00
1726.00,6367.00,0.00,0.00,55877.00,0.00,0.00,12895.00,0.00,0.00
1727.00,6104.00,0.00,0.00,50853.00,0.00,0.00,12081.00,0.00,0.00
1728.00,5753.00,0.00,0.00,47296.00,0.00,0.00,11577.00,0.00,0.00
1729.00,5072.00,0.00,0.00,45481.00,0.00,0.00,11456.00,0.00,0.00
1730.00,4542.00,0.00,0.00,44740.00,0.00,0.00,11365.00,0.00,0.00
1731.00,4293.00,0.00,0.00,45538.00,0.00,0.00,11361.00,0.00,0.00
1732.00,4172.00,0.00,0.00,47628.00,0.00,0.00,11610.00,0.00,0.00
1733.00,4098.00,0.00,0.00,50724.00,0.00,0.00,12215.00,0.00,0.00
1734.00,4046.00,0.00,0.00,56412.00,0.00,0.00,13382.60,40.40,0.00
1735.00,4181.00,21.00,0.00,56278.00,4755.00,0.00,14417.60,236.40,0.00
1736.00,3878.80,466.20,0.00,55035.00,8175.00,0.00,14514.00,256.00,0.00
1737.00,3319.60,1793.40,0.00,50087.00,12805.00,0.00,14115.20,398.80,0.00
1738.00,2794.60,3056.40,0.00,46207.00,17095.00,0.00,13893.80,507.20,0.00
1739.00,2437.20,3664.80,0.00,44006.00,20085.00,0.00,13693.40,559.60,0.00
1740.00,2369.00,3867.00,0.00,42185.00,21235.00,0.00,13464.80,579.20,0.00
1741.00,2434.20,3859.80,0.00,40776.00,22155.00,0.00,13195.80,703.20,0.00
1742.00,2014.40,3777.60,0.00,41916.00,19950.00,0.00,13180.40,617.60,0.00
1743.00,2392.80,3547.20,0.00,44760.00,16260.00,0.00,13258.60,498.40,0.00
1744.00,2894.80,3211.20,0.00,48885.00,10905.00,0.00,13299.60,294.40,0.00
1745.00,3625.80,2419.20,0.00,55314.00,4930.00,0.00,13684.60,100.40,0.00
1746.00,4993.80,988.20,0.00,64192.00,110.00,0.00,14484.20,2.80,0.00
1747.00,5663.00,132.00,0.00,66608.00,0.00,0.00,14534.00,0.00,0.00
1748.00,6235.80,1.20,0.00,62790.00,0.00,0.00,14175.00,0.00,0.00
1749.00,6596.00,0.00,0.00,59353.00,0.00,0.00,13586.00,0.00,0.00
1750.00,6361.00,0.00,0.00,56366.00,0.00,0.00,12769.00,0.00,0.00
1751.00,6080.00,0.00,0.00,51342.00,0.00,0.00,11926.00,0.00,0.00
1752.00,5718.00,0.00,0.00,48029.00,0.00,0.00,11469.00,0.00,0.00
1753.00,5031.00,0.00,0.00,46028.00,0.00,0.00,11242.00,0.00,0.00
1754.00,4548.00,0.00,0.00,45314.00,0.00,0.00,11123.00,0.00,0.00
1755.00,4254.00,0.00,0.00,46286.00,0.00,0.00,11162.00,0.00,0.00
1756.00,4147.00,0.00,0.00,47790.00,0.00,0.00,11355.00,0.00,0.00
1757.00,4105.00,0.00,0.00,50450.00,0.00,0.00,11934.00,0.00,0.00
1758.00,4118.00,0.00,0.00,56519.00,0.00,0.00,13055.60,44.40,0.00
1759.00,4157.20,28.80,0.00,55613.00,5445.00,0.00,14014.00,260.00,0.00
1760.00,3685.60,659.40,0.00,52696.00,10050.00,0.00,14208.40,293.60,0.00
1761.00,2792.80,2233.20,0.00,47591.00,14945.00,0.00,14001.20,464.80,0.00
1762.00,2426.60,3422.40,0.00,44043.00,19005.00,0.00,13715.40,621.60,0.00
1763.00,2135.20,3976.80,0.00,42471.00,21415.00,0.00,13486.00,742.00,0.00
1764.00,2069.40,4125.60,0.00,41044.00,22025.00,0.00,13269.40,769.60,0.00
1765.00,2158.80,4069.20,0.00,39985.00,22475.00,0.00,13082.60,828.40,0.00
1766.00,1810.60,4004.40,0.00,41019.00,20575.00,0.00,13123.40,691.60,0.00
1767.00,2248.40,3780.60,0.00,43443.00,17275.00,0.00,13413.60,442.40,0.00
1768.00,2753.20,3379.80,0.00,46796.00,12410.00,0.00,13565.20,214.80,0.00
1769.00,3475.20,2581.80,0.00,53909.00,5935.00,0.00,13979.00,54.00,0.00
1770.00,4975.80,1048.20,0.00,63684.00,115.00,0.00,14588.20,2.80,0.00
1771.00,5585.20,136.80,0.00,66702.00,0.00,0.00,14517.00,0.00,0.00
