", South, South, South "
"Timestep, Gas, PV, PHS "
184.00,4040.20,2821.80,0.00
185.00,5486.20,1318.80,0.00
186.00,6587.80,223.20,0.00
187.00,7185.20,7.80,0.00
188.00,7355.00,0.00,0.00
189.00,7323.00,0.00,0.00
190.00,7034.00,0.00,0.00
191.00,6738.00,0.00,0.00
192.00,6380.00,0.00,0.00
193.00,5546.00,0.00,0.00
194.00,5000.00,0.00,0.00
195.00,4643.00,0.00,0.00
196.00,4472.00,0.00,0.00
197.00,4379.00,0.00,0.00
198.00,4336.00,0.00,0.00
199.00,4478.00,0.00,0.00
200.00,4769.60,59.40,0.00
201.00,4907.00,771.00,0.00
202.00,4176.00,2334.00,0.00
203.00,3433.40,3372.60,0.00
204.00,3119.00,3786.00,0.00
205.00,3041.60,3929.40,0.00
206.00,2583.60,3878.40,0.00
207.00,3013.40,3621.60,0.00
208.00,3934.40,2850.60,0.00
209.00,5384.60,1322.40,0.00
210.00,6509.80,241.20,0.00
211.00,7213.60,8.40,0.00
212.00,7463.00,0.00,0.00
213.00,7442.00,0.00,0.00
214.00,7211.00,0.00,0.00
215.00,6861.00,0.00,0.00
216.00,6462.00,0.00,0.00
217.00,5676.00,0.00,0.00
218.00,5080.00,0.00,0.00
219.00,4722.00,0.00,0.00
220.00,4490.00,0.00,0.00
221.00,4404.00,0.00,0.00
222.00,4440.00,0.00,0.00
223.00,4514.00,0.00,0.00
224.00,4833.80,52.20,0.00
225.00,5026.40,714.60,0.00
226.00,4343.80,2176.20,0.00
227.00,3638.80,3190.20,0.00
228.00,3427.00,3546.00,0.00
229.00,3362.80,3637.20,0.00
230.00,2968.40,3531.60,0.00
231.00,3508.20,3169.80,0.00
232.00,4501.00,2352.00,0.00
233.00,5885.40,915.60,0.00
234.00,6643.20,136.80,0.00
235.00,7218.80,4.20,0.00
236.00,7417.00,0.00,0.00
237.00,7409.00,0.00,0.00
238.00,7223.00,0.00,0.00
239.00,6899.00,0.00,0.00
240.00,6500.00,0.00,0.00
241.00,5640.00,0.00,0.00
242.00,5050.00,0.00,0.00
243.00,4695.00,0.00,0.00
244.00,4533.00,0.00,0.00
245.00,4416.00,0.00,0.00
246.00,4413.00,0.00,0.00
247.00,4513.00,0.00,0.00
248.00,4844.80,46.20,0.00
249.00,5165.20,541.80,0.00
250.00,4947.20,1513.80,0.00
251.00,4470.20,2314.80,0.00
252.00,4121.00,2769.00,0.00
253.00,3950.60,2951.40,0.00
254.00,3396.80,2953.20,0.00
255.00,3778.40,2721.60,0.00
256.00,4571.40,2031.60,0.00
257.00,5600.00,915.00,0.00
258.00,6366.60,185.40,0.00
259.00,7019.40,9.60,0.00
260.00,7322.00,0.00,0.00
261.00,7355.00,0.00,0.00
262.00,7100.00,0.00,0.00
263.00,6856.00,0.00,0.00
264.00,6481.00,0.00,0.00
265.00,5626.00,0.00,0.00
266.00,5044.00,0.00,0.00
267.00,4720.00,0.00,0.00
268.00,4552.00,0.00,0.00
269.00,4446.00,0.00,0.00
270.00,4413.00,0.00,0.00
271.00,4516.00,0.00,0.00
272.00,4844.00,57.00,0.00
273.00,4909.80,766.20,0.00
274.00,4261.20,2239.80,0.00
275.00,3563.80,3265.20,0.00
276.00,3140.60,3737.40,0.00
277.00,2974.80,3898.20,0.00
278.00,2509.80,3823.20,0.00
279.00,2962.80,3502.20,0.00
280.00,3730.20,2794.80,0.00
281.00,5034.40,1434.60,0.00
282.00,6101.20,322.80,0.00
283.00,6883.80,13.20,0.00
284.00,7278.00,0.00,0.00
285.00,7219.00,0.00,0.00
286.00,6957.00,0.00,0.00
287.00,6684.00,0.00,0.00
288.00,6361.00,0.00,0.00
289.00,5669.00,0.00,0.00
290.00,5129.00,0.00,0.00
291.00,4747.00,0.00,0.00
292.00,4475.00,0.00,0.00
293.00,4359.00,0.00,0.00
294.00,4275.00,0.00,0.00
295.00,4286.00,0.00,0.00
296.00,4364.00,63.00,0.00
297.00,3628.80,859.20,0.00
298.00,2432.60,2483.40,0.00
299.00,1889.00,3477.00,0.00
300.00,1637.80,3862.20,0.00
301.00,1597.20,3949.80,0.00
302.00,1523.80,3910.20,0.00
303.00,1579.00,3657.00,0.00
304.00,2225.80,2971.20,0.00
305.00,3575.60,1547.40,0.00
306.00,4870.60,341.40,0.00
307.00,6126.20,13.80,0.00
308.00,6563.00,0.00,0.00
309.00,6668.00,0.00,0.00
310.00,6533.00,0.00,0.00
311.00,6260.00,0.00,0.00
312.00,5946.00,0.00,0.00
313.00,5296.00,0.00,0.00
314.00,4803.00,0.00,0.00
315.00,4347.00,0.00,0.00
316.00,4109.00,0.00,0.00
317.00,4059.00,0.00,0.00
318.00,3996.00,0.00,0.00
319.00,4002.00,0.00,0.00
320.00,3893.20,61.80,0.00
321.00,3164.00,801.00,0.00
322.00,1866.40,2286.60,0.00
323.00,1379.80,3256.20,0.00
324.00,1209.40,3681.60,0.00
325.00,1386.20,3784.80,0.00
326.00,1448.80,3745.20,0.00
327.00,1441.20,3511.80,0.00
328.00,2062.40,2877.60,0.00
329.00,3261.20,1561.80,0.00
330.00,4632.20,346.80,0.00
331.00,5858.60,14.40,0.00
332.00,6265.00,0.00,0.00
333.00,6390.00,0.00,0.00
334.00,6405.00,0.00,0.00
335.00,6191.00,0.00,0.00
336.00,5780.00,0.00,0.00
337.00,5003.00,0.00,0.00
338.00,4573.00,0.00,0.00
339.00,4281.00,0.00,0.00
340.00,4150.00,0.00,0.00
341.00,4085.00,0.00,0.00
342.00,4115.00,0.00,0.00
343.00,4195.00,0.00,0.00
344.00,4655.40,66.60,0.00
345.00,4767.40,888.60,0.00
346.00,3925.40,2535.60,0.00
347.00,3374.60,3530.40,0.00
348.00,3177.60,3911.40,0.00
349.00,3125.20,4033.80,0.00
350.00,2693.40,4008.60,0.00
351.00,3046.40,3789.60,0.00
