", South, South, South "
"Timestep, Gas, PV, PHS "
1736.00,3878.80,466.20,0.00
1737.00,3319.60,1793.40,0.00
1738.00,2794.60,3056.40,0.00
1739.00,2437.20,3664.80,0.00
1740.00,2369.00,3867.00,0.00
1741.00,2434.20,3859.80,0.00
1742.00,2014.40,3777.60,0.00
1743.00,2392.80,3547.20,0.00
1744.00,2894.80,3211.20,0.00
1745.00,3625.80,2419.20,0.00
1746.00,4993.80,988.20,0.00
1747.00,5663.00,132.00,0.00
1748.00,6235.80,1.20,0.00
1749.00,6596.00,0.00,0.00
1750.00,6361.00,0.00,0.00
1751.00,6080.00,0.00,0.00
1752.00,5718.00,0.00,0.00
1753.00,5031.00,0.00,0.00
1754.00,4548.00,0.00,0.00
1755.00,4254.00,0.00,0.00
1756.00,4147.00,0.00,0.00
1757.00,4105.00,0.00,0.00
1758.00,4118.00,0.00,0.00
1759.00,4157.20,28.80,0.00
1760.00,3685.60,659.40,0.00
1761.00,2792.80,2233.20,0.00
1762.00,2426.60,3422.40,0.00
1763.00,2135.20,3976.80,0.00
1764.00,2069.40,4125.60,0.00
1765.00,2158.80,4069.20,0.00
1766.00,1810.60,4004.40,0.00
1767.00,2248.40,3780.60,0.00
1768.00,2753.20,3379.80,0.00
1769.00,3475.20,2581.80,0.00
1770.00,4975.80,1048.20,0.00
1771.00,5585.20,136.80,0.00
1772.00,6193.80,1.20,0.00
1773.00,6553.00,0.00,0.00
1774.00,6350.00,0.00,0.00
1775.00,6040.00,0.00,0.00
1776.00,5741.00,0.00,0.00
1777.00,5050.00,0.00,0.00
1778.00,4529.00,0.00,0.00
1779.00,4264.00,0.00,0.00
1780.00,4143.00,0.00,0.00
1781.00,4093.00,0.00,0.00
1782.00,4070.00,0.00,0.00
1783.00,4123.00,33.00,0.00
1784.00,3648.80,673.20,0.00
1785.00,2853.60,2234.40,0.00
1786.00,2493.40,3426.60,0.00
1787.00,2149.00,3945.00,0.00
1788.00,2049.80,4144.20,0.00
1789.00,2145.20,4141.80,0.00
1790.00,1767.60,4076.40,0.00
1791.00,2161.00,3837.00,0.00
1792.00,2558.60,3509.40,0.00
1793.00,3232.60,2726.40,0.00
1794.00,4693.00,1161.00,0.00
1795.00,5473.60,149.40,0.00
1796.00,6065.80,1.20,0.00
1797.00,6458.00,0.00,0.00
1798.00,6157.00,0.00,0.00
1799.00,5860.00,0.00,0.00
1800.00,5557.00,0.00,0.00
1801.00,4950.00,0.00,0.00
1802.00,4548.00,0.00,0.00
1803.00,4249.00,0.00,0.00
1804.00,4031.00,0.00,0.00
1805.00,3938.00,0.00,0.00
1806.00,3936.00,0.00,0.00
1807.00,3878.40,42.60,0.00
1808.00,3001.80,787.20,0.00
1809.00,1640.20,2392.80,0.00
1810.00,1035.20,3535.80,0.00
1811.00,859.40,4044.60,0.00
1812.00,757.40,4251.60,0.00
1813.00,876.80,4219.20,0.00
1814.00,812.60,4169.40,0.00
1815.00,798.60,3983.40,0.00
1816.00,1162.20,3661.80,0.00
1817.00,1763.80,2926.20,0.00
1818.00,3314.60,1301.40,0.00
1819.00,4516.80,166.20,0.00
1820.00,5279.80,1.20,0.00
1821.00,5817.00,0.00,0.00
1822.00,5593.00,0.00,0.00
1823.00,5246.00,0.00,0.00
1824.00,5007.00,0.00,0.00
1825.00,4558.00,0.00,0.00
1826.00,4144.00,0.00,0.00
1827.00,3828.00,0.00,0.00
1828.00,3665.00,0.00,0.00
1829.00,3550.00,0.00,0.00
1830.00,3560.00,0.00,0.00
1831.00,3527.20,40.80,0.00
1832.00,2694.40,681.60,0.00
1833.00,1249.20,2245.80,0.00
1834.00,424.60,3413.40,0.00
1835.00,281.60,3947.40,0.00
1836.00,282.80,4156.20,0.00
1837.00,368.80,4174.20,0.00
1838.00,390.40,4146.60,0.00
1839.00,347.60,3914.40,0.00
1840.00,531.80,3556.20,0.00
1841.00,1170.20,2806.80,0.00
1842.00,2760.40,1221.60,0.00
1843.00,3968.20,154.80,0.00
1844.00,4784.80,1.20,0.00
1845.00,5366.00,0.00,0.00
1846.00,5384.00,0.00,0.00
1847.00,5200.00,0.00,0.00
1848.00,4891.00,0.00,0.00
1849.00,4314.00,0.00,0.00
1850.00,4050.00,0.00,0.00
1851.00,3789.00,0.00,0.00
1852.00,3689.00,0.00,0.00
1853.00,3584.00,0.00,0.00
1854.00,3630.00,0.00,0.00
1855.00,3750.00,57.00,0.00
1856.00,3212.20,826.80,0.00
1857.00,2398.80,2404.20,0.00
1858.00,2159.40,3537.60,0.00
1859.00,2021.40,4056.60,0.00
1860.00,1959.00,4278.00,0.00
1861.00,2022.80,4327.20,0.00
1862.00,1627.60,4307.40,0.00
1863.00,1986.40,4161.60,0.00
1864.00,2414.80,3844.20,0.00
1865.00,3079.20,3091.80,0.00
1866.00,4805.00,1359.00,0.00
1867.00,5732.20,172.80,0.00
1868.00,6232.80,1.20,0.00
1869.00,6674.00,0.00,0.00
1870.00,6355.00,0.00,0.00
1871.00,6127.00,0.00,0.00
1872.00,5715.00,0.00,0.00
1873.00,4979.00,0.00,0.00
1874.00,4512.00,0.00,0.00
1875.00,4332.00,0.00,0.00
1876.00,4198.00,0.00,0.00
1877.00,4122.00,0.00,0.00
1878.00,4060.00,0.00,0.00
1879.00,4148.20,46.80,0.00
1880.00,3653.40,693.60,0.00
1881.00,2993.60,2120.40,0.00
1882.00,2884.20,3160.80,0.00
1883.00,2584.20,3715.80,0.00
1884.00,2447.60,3968.40,0.00
1885.00,2476.00,4020.00,0.00
1886.00,1988.20,4072.80,0.00
1887.00,2238.00,4002.00,0.00
1888.00,2642.40,3762.60,0.00
1889.00,3260.60,3047.40,0.00
1890.00,4913.40,1329.60,0.00
1891.00,5770.40,171.60,0.00
1892.00,6321.80,1.20,0.00
1893.00,6866.00,0.00,0.00
1894.00,6678.00,0.00,0.00
1895.00,6398.00,0.00,0.00
1896.00,5978.00,0.00,0.00
1897.00,5229.00,0.00,0.00
1898.00,4712.00,0.00,0.00
1899.00,4448.00,0.00,0.00
1900.00,4277.00,0.00,0.00
1901.00,4247.00,0.00,0.00
1902.00,4249.00,0.00,0.00
1903.00,4303.00,60.00,0.00
1904.00,3676.00,750.00,0.00
1905.00,3070.40,2196.60,0.00
1906.00,2915.60,3266.40,0.00
1907.00,2588.60,3791.40,0.00
1908.00,2497.60,4055.40,0.00
1909.00,2440.20,4165.80,0.00
1910.00,1957.60,4160.40,0.00
1911.00,2339.40,4017.60,0.00
1912.00,2742.60,3704.40,0.00
1913.00,3404.20,3001.80,0.00
1914.00,4958.20,1378.80,0.00
1915.00,5866.00,186.00,0.00
1916.00,6374.80,1.20,0.00
1917.00,7022.00,0.00,0.00
1918.00,6816.00,0.00,0.00
1919.00,6468.00,0.00,0.00
1920.00,6098.00,0.00,0.00
1921.00,5342.00,0.00,0.00
1922.00,4823.00,0.00,0.00
1923.00,4503.00,0.00,0.00
1924.00,4340.00,0.00,0.00
1925.00,4262.00,0.00,0.00
1926.00,4293.00,0.00,0.00
1927.00,4326.80,67.20,0.00
1928.00,3621.60,866.40,0.00
1929.00,2870.00,2457.00,0.00
1930.00,2774.80,3454.20,0.00
1931.00,2494.20,3934.80,0.00
1932.00,2394.40,4146.60,0.00
1933.00,2327.20,4207.80,0.00
1934.00,1806.40,4236.60,0.00
1935.00,2154.60,4133.40,0.00
1936.00,2569.20,3877.80,0.00
1937.00,3157.60,3188.40,0.00
1938.00,4713.60,1511.40,0.00
1939.00,5812.60,209.40,0.00
1940.00,6412.20,1.80,0.00
1941.00,6964.00,0.00,0.00
1942.00,6800.00,0.00,0.00
1943.00,6475.00,0.00,0.00
1944.00,6074.00,0.00,0.00
1945.00,5296.00,0.00,0.00
1946.00,4800.00,0.00,0.00
1947.00,4505.00,0.00,0.00
1948.00,4369.00,0.00,0.00
1949.00,4262.00,0.00,0.00
1950.00,4293.00,0.00,0.00
1951.00,4266.00,84.00,0.00
1952.00,3457.40,945.60,0.00
1953.00,2728.40,2538.60,0.00
1954.00,2618.00,3564.00,0.00
1955.00,2314.40,4029.60,0.00
1956.00,2179.40,4233.60,0.00
1957.00,2204.40,4266.60,0.00
1958.00,1759.00,4257.00,0.00
1959.00,2046.80,4132.20,0.00
1960.00,2419.40,3864.60,0.00
1961.00,2998.60,3152.40,0.00
1962.00,4588.20,1495.80,0.00
1963.00,5549.60,209.40,0.00
1964.00,6059.20,1.80,0.00
1965.00,6687.00,0.00,0.00
1966.00,6506.00,0.00,0.00
1967.00,6254.00,0.00,0.00
1968.00,5855.00,0.00,0.00
1969.00,5288.00,0.00,0.00
1970.00,4813.00,0.00,0.00
1971.00,4428.00,0.00,0.00
1972.00,4272.00,0.00,0.00
1973.00,4176.00,0.00,0.00
1974.00,4143.00,0.00,0.00
1975.00,4017.20,94.80,0.00
1976.00,2910.00,972.00,0.00
1977.00,1650.80,2545.20,0.00
1978.00,1236.80,3532.20,0.00
1979.00,1121.60,3971.40,0.00
1980.00,1045.60,4166.40,0.00
1981.00,1035.40,4194.60,0.00
1982.00,873.20,4177.80,0.00
1983.00,936.20,4009.80,0.00
1984.00,1254.80,3670.20,0.00
1985.00,1818.60,2906.40,0.00
1986.00,3368.20,1300.80,0.00
1987.00,4503.00,198.00,0.00
1988.00,5265.80,1.20,0.00
1989.00,6050.00,0.00,0.00
1990.00,5960.00,0.00,0.00
1991.00,5582.00,0.00,0.00
1992.00,5335.00,0.00,0.00
1993.00,4857.00,0.00,0.00
1994.00,4408.00,0.00,0.00
1995.00,4000.00,0.00,0.00
1996.00,3876.00,0.00,0.00
1997.00,3779.00,0.00,0.00
1998.00,3712.00,0.00,0.00
1999.00,3692.20,88.80,0.00
2000.00,2650.40,876.60,0.00
2001.00,1579.60,2279.40,0.00
2002.00,1047.20,3154.80,0.00
2003.00,958.80,3541.20,0.00
2004.00,959.80,3715.20,0.00
2005.00,967.60,3731.40,0.00
2006.00,753.60,3767.40,0.00
2007.00,778.00,3639.00,0.00
2008.00,874.80,3373.20,0.00
2009.00,1543.00,2667.00,0.00
2010.00,3058.00,1191.00,0.00
2011.00,4267.00,183.00,0.00
2012.00,5010.20,1.80,0.00
2013.00,5673.00,0.00,0.00
2014.00,5471.00,0.00,0.00
2015.00,5213.00,0.00,0.00
2016.00,4761.00,0.00,0.00
2017.00,4360.00,0.00,0.00
2018.00,4080.00,0.00,0.00
2019.00,3915.00,0.00,0.00
2020.00,3870.00,0.00,0.00
2021.00,3871.00,0.00,0.00
2022.00,3949.00,0.00,0.00
2023.00,4231.80,97.20,0.00
2024.00,3923.00,915.00,0.00
2025.00,3543.00,2343.00,0.00
2026.00,3080.00,3198.00,0.00
2027.00,2883.80,3601.20,0.00
2028.00,2840.00,3753.00,0.00
2029.00,2370.20,3784.80,0.00
2030.00,2575.20,3733.80,0.00
2031.00,2736.40,3555.60,0.00
2032.00,2970.60,3245.40,0.00
2033.00,3613.60,2501.40,0.00
2034.00,4756.80,1168.20,0.00
2035.00,5721.00,189.00,0.00
2036.00,6242.20,1.80,0.00
2037.00,6641.00,0.00,0.00
2038.00,6430.00,0.00,0.00
2039.00,5993.00,0.00,0.00
2040.00,5347.00,0.00,0.00
2041.00,4779.00,0.00,0.00
2042.00,4367.00,0.00,0.00
2043.00,4290.00,0.00,0.00
2044.00,4199.00,0.00,0.00
2045.00,4210.00,0.00,0.00
2046.00,4317.00,0.00,0.00
2047.00,4588.00,87.00,0.00
2048.00,4260.40,843.60,0.00
2049.00,3821.60,2282.40,0.00
2050.00,3289.20,3133.80,0.00
2051.00,3028.80,3496.20,0.00
2052.00,2945.00,3639.00,0.00
2053.00,2444.40,3678.60,0.00
2054.00,2598.60,3632.40,0.00
2055.00,2790.60,3512.40,0.00
2056.00,2891.80,3298.20,0.00
2057.00,3434.80,2659.20,0.00
2058.00,4703.00,1242.00,0.00
2059.00,5707.40,189.60,0.00
2060.00,6248.20,1.80,0.00
2061.00,6689.00,0.00,0.00
2062.00,6457.00,0.00,0.00
2063.00,5941.00,0.00,0.00
2064.00,5285.00,0.00,0.00
2065.00,4794.00,0.00,0.00
2066.00,4462.00,0.00,0.00
2067.00,4273.00,0.00,0.00
2068.00,4193.00,0.00,0.00
2069.00,4191.00,0.00,0.00
2070.00,4258.00,0.00,0.00
2071.00,4505.40,114.60,0.00
2072.00,4073.40,996.60,0.00
2073.00,3575.20,2449.80,0.00
2074.00,3072.20,3250.80,0.00
2075.00,2842.00,3612.00,0.00
2076.00,2804.40,3705.60,0.00
2077.00,2363.20,3736.80,0.00
2078.00,2674.00,3648.00,0.00
2079.00,2936.80,3487.20,0.00
2080.00,3037.40,3297.60,0.00
2081.00,3545.00,2703.00,0.00
2082.00,4778.20,1285.80,0.00
2083.00,5882.80,208.20,0.00
2084.00,6332.60,2.40,0.00
2085.00,6718.00,0.00,0.00
2086.00,6429.00,0.00,0.00
2087.00,5972.00,0.00,0.00
2088.00,5291.00,0.00,0.00
2089.00,4776.00,0.00,0.00
2090.00,4472.00,0.00,0.00
2091.00,4265.00,0.00,0.00
2092.00,4233.00,0.00,0.00
2093.00,4217.00,0.00,0.00
2094.00,4267.00,0.00,0.00
2095.00,4547.20,94.80,0.00
2096.00,4242.40,861.60,0.00
2097.00,3715.40,2268.60,0.00
2098.00,3138.00,3156.00,0.00
2099.00,2781.40,3612.60,0.00
2100.00,2622.00,3819.00,0.00
2101.00,2040.80,3931.20,0.00
2102.00,2202.20,3910.80,0.00
2103.00,2376.20,3862.80,0.00
2104.00,2418.80,3721.20,0.00
2105.00,2952.60,3065.40,0.00
2106.00,4254.60,1523.40,0.00
2107.00,5508.40,237.60,0.00
2108.00,6073.60,2.40,0.00
2109.00,6585.00,0.00,0.00
2110.00,6361.00,0.00,0.00
2111.00,5950.00,0.00,0.00
2112.00,5246.00,0.00,0.00
2113.00,4800.00,0.00,0.00
2114.00,4484.00,0.00,0.00
2115.00,4324.00,0.00,0.00
2116.00,4253.00,0.00,0.00
2117.00,4257.00,0.00,0.00
2118.00,4296.00,0.00,0.00
2119.00,4501.60,155.40,0.00
2120.00,3923.40,1176.60,0.00
2121.00,3212.80,2737.20,0.00
2122.00,2708.80,3655.20,0.00
2123.00,2446.60,4070.40,0.00
2124.00,2305.20,4276.80,0.00
2125.00,1793.40,4344.60,0.00
2126.00,1953.40,4305.60,0.00
2127.00,2151.40,4173.60,0.00
2128.00,2345.20,3868.80,0.00
2129.00,2980.40,3156.60,0.00
2130.00,4554.40,1449.60,0.00
2131.00,5873.20,202.80,0.00
2132.00,6392.20,1.80,0.00
2133.00,6686.00,0.00,0.00
2134.00,6370.00,0.00,0.00
2135.00,5973.00,0.00,0.00
2136.00,5300.00,0.00,0.00
2137.00,4829.00,0.00,0.00
2138.00,4452.00,0.00,0.00
2139.00,4249.00,0.00,0.00
2140.00,4169.00,0.00,0.00
2141.00,4101.00,0.00,0.00
2142.00,4079.00,0.00,0.00
2143.00,4031.80,136.20,0.00
2144.00,3139.60,1049.40,0.00
2145.00,2081.60,2585.40,0.00
2146.00,1553.00,3540.00,0.00
2147.00,1232.60,4010.40,0.00
2148.00,1062.20,4234.80,0.00
2149.00,925.00,4311.00,0.00
2150.00,768.00,4272.00,0.00
2151.00,887.20,4129.80,0.00
2152.00,1057.40,3819.60,0.00
2153.00,1665.60,3095.40,0.00
2154.00,3294.40,1455.60,0.00
2155.00,4667.00,225.00,0.00
2156.00,5309.60,2.40,0.00
2157.00,5994.00,0.00,0.00
2158.00,5699.00,0.00,0.00
2159.00,5447.00,0.00,0.00
2160.00,5067.00,0.00,0.00
2161.00,4461.00,0.00,0.00
2162.00,4122.00,0.00,0.00
2163.00,3910.00,0.00,0.00
2164.00,3814.00,0.00,0.00
2165.00,3708.00,0.00,0.00
2166.00,3724.00,0.00,0.00
2167.00,3656.00,117.00,0.00
2168.00,2672.40,918.60,0.00
2169.00,1566.20,2410.80,0.00
2170.00,1061.40,3285.60,0.00
2171.00,944.40,3612.60,0.00
2172.00,1058.80,3685.20,0.00
2173.00,1054.60,3677.40,0.00
2174.00,820.00,3618.00,0.00
2175.00,901.20,3454.80,0.00
2176.00,1030.20,3175.80,0.00
2177.00,1679.00,2520.00,0.00
2178.00,3070.80,1162.20,0.00
2179.00,4240.80,181.20,0.00
2180.00,4901.60,2.40,0.00
2181.00,5582.00,0.00,0.00
2182.00,5431.00,0.00,0.00
2183.00,5317.00,0.00,0.00
2184.00,4828.00,0.00,0.00
2185.00,4367.00,0.00,0.00
2186.00,4068.00,0.00,0.00
2187.00,3872.00,0.00,0.00
2188.00,3843.00,0.00,0.00
2189.00,3837.00,0.00,0.00
2190.00,4002.00,0.00,0.00
2191.00,4242.20,151.80,0.00
2192.00,3763.20,1081.80,0.00
2193.00,3184.00,2688.00,0.00
2194.00,2759.40,3585.60,0.00
2195.00,2602.40,3903.60,0.00
2196.00,2706.00,3972.00,0.00
2197.00,2356.20,3979.80,0.00
2198.00,2382.60,4031.40,0.00
2199.00,2567.20,3946.80,0.00
2200.00,2747.60,3665.40,0.00
2201.00,3437.40,2880.60,0.00
2202.00,4777.40,1287.60,0.00
2203.00,5885.40,195.60,0.00
2204.00,6421.00,3.00,0.00
2205.00,6794.00,0.00,0.00
2206.00,6544.00,0.00,0.00
2207.00,6029.00,0.00,0.00
2208.00,5335.00,0.00,0.00
2209.00,4774.00,0.00,0.00
2210.00,4441.00,0.00,0.00
2211.00,4243.00,0.00,0.00
2212.00,4184.00,0.00,0.00
2213.00,4150.00,0.00,0.00
2214.00,4277.00,0.00,0.00
2215.00,4470.80,178.20,0.00
2216.00,3857.60,1217.40,0.00
2217.00,3220.20,2848.80,0.00
2218.00,2733.80,3727.20,0.00
2219.00,2559.00,4047.00,0.00
2220.00,2560.80,4153.20,0.00
2221.00,2128.40,4158.60,0.00
2222.00,2263.00,4155.00,0.00
2223.00,2381.40,4083.60,0.00
2224.00,2495.00,3840.00,0.00
2225.00,3004.20,3214.80,0.00
2226.00,4422.40,1620.60,0.00
2227.00,5742.40,264.60,0.00
2228.00,6273.00,3.00,0.00
2229.00,6747.00,0.00,0.00
2230.00,6521.00,0.00,0.00
2231.00,6052.00,0.00,0.00
2232.00,5325.00,0.00,0.00
2233.00,4839.00,0.00,0.00
2234.00,4520.00,0.00,0.00
2235.00,4322.00,0.00,0.00
2236.00,4217.00,0.00,0.00
2237.00,4139.00,0.00,0.00
2238.00,4288.00,0.00,0.00
2239.00,4420.20,166.80,0.00
2240.00,3924.60,1148.40,0.00
2241.00,3326.20,2752.80,0.00
2242.00,2805.40,3618.60,0.00
2243.00,2630.20,3907.80,0.00
2244.00,2646.00,3957.00,0.00
2245.00,2191.80,3916.20,0.00
2246.00,2378.00,3870.00,0.00
2247.00,2544.40,3729.60,0.00
2248.00,2719.40,3489.60,0.00
2249.00,3206.80,2920.20,0.00
2250.00,4406.00,1497.00,0.00
2251.00,5626.20,259.80,0.00
2252.00,6159.00,3.00,0.00
2253.00,6703.00,0.00,0.00
2254.00,6404.00,0.00,0.00
2255.00,5990.00,0.00,0.00
2256.00,5356.00,0.00,0.00
2257.00,4803.00,0.00,0.00
2258.00,4500.00,0.00,0.00
2259.00,4302.00,0.00,0.00
2260.00,4196.00,0.00,0.00
2261.00,4193.00,0.00,0.00
2262.00,4296.40,0.60,0.00
2263.00,4440.40,171.60,0.00
2264.00,3854.40,1164.60,0.00
2265.00,3238.80,2740.20,0.00
2266.00,2679.20,3595.80,0.00
2267.00,2506.60,3911.40,0.00
2268.00,2445.00,4026.00,0.00
2269.00,1920.00,4050.00,0.00
2270.00,1897.40,4074.60,0.00
2271.00,2099.20,3976.80,0.00
2272.00,2203.20,3745.80,0.00
2273.00,2665.40,3132.60,0.00
2274.00,4083.20,1561.80,0.00
2275.00,5323.20,268.80,0.00
2276.00,5848.40,3.60,0.00
2277.00,6453.00,0.00,0.00
2278.00,6201.00,0.00,0.00
2279.00,5808.00,0.00,0.00
2280.00,5225.00,0.00,0.00
2281.00,4743.00,0.00,0.00
2282.00,4387.00,0.00,0.00
2283.00,4158.00,0.00,0.00
2284.00,4031.00,0.00,0.00
2285.00,3942.00,0.00,0.00
2286.00,4005.00,0.00,0.00
2287.00,3921.60,113.40,0.00
2288.00,3089.20,892.80,0.00
2289.00,2067.00,2373.00,0.00
2290.00,1581.40,3231.60,0.00
2291.00,1436.60,3593.40,0.00
2292.00,1432.20,3688.80,0.00
2293.00,1339.60,3710.40,0.00
2294.00,1219.40,3681.60,0.00
2295.00,1301.00,3615.00,0.00
2296.00,1425.40,3363.60,0.00
2297.00,1998.80,2704.20,0.00
2298.00,3373.20,1327.80,0.00
2299.00,4551.00,237.00,0.00
2300.00,5217.00,3.00,0.00
2301.00,5876.00,0.00,0.00
2302.00,5683.00,0.00,0.00
2303.00,5317.00,0.00,0.00
2304.00,4935.00,0.00,0.00
2305.00,4490.00,0.00,0.00
2306.00,4150.00,0.00,0.00
2307.00,3945.00,0.00,0.00
2308.00,3784.00,0.00,0.00
2309.00,3789.00,0.00,0.00
2310.00,3793.40,0.60,0.00
2311.00,3628.00,171.00,0.00
2312.00,2695.40,1140.60,0.00
2313.00,1498.20,2737.80,0.00
2314.00,1000.60,3614.40,0.00
2315.00,859.60,3950.40,0.00
2316.00,760.20,4096.80,0.00
2317.00,708.00,4107.00,0.00
2318.00,573.60,4106.40,0.00
2319.00,672.60,3986.40,0.00
2320.00,897.40,3702.60,0.00
2321.00,1429.40,3084.60,0.00
2322.00,2957.60,1562.40,0.00
2323.00,4422.00,276.00,0.00
2324.00,5076.40,3.60,0.00
2325.00,5676.00,0.00,0.00
2326.00,5369.00,0.00,0.00
2327.00,5060.00,0.00,0.00
2328.00,4656.00,0.00,0.00
2329.00,4147.00,0.00,0.00
2330.00,3747.00,0.00,0.00
2331.00,3535.00,0.00,0.00
2332.00,3435.00,0.00,0.00
2333.00,3394.00,0.00,0.00
2334.00,3380.40,0.60,0.00
2335.00,3218.40,159.60,0.00
2336.00,2168.40,1119.60,0.00
2337.00,890.40,2724.60,0.00
2338.00,371.20,3622.80,0.00
2339.00,225.20,4018.80,0.00
2340.00,175.60,4169.40,0.00
2341.00,0.00,4194.60,-51.60
2342.00,0.00,4162.80,-361.80
2343.00,0.00,4032.60,-280.60
2344.00,0.00,3760.20,-92.20
2345.00,503.91,3085.20,29.89
2346.00,2098.60,1556.40,0.00
2347.00,3581.40,264.60,0.00
2348.00,4175.00,3.00,0.00
2349.00,4906.00,0.00,0.00
2350.00,4876.00,0.00,0.00
2351.00,4701.00,0.00,0.00
2352.00,4332.00,0.00,0.00
2353.00,3919.00,0.00,0.00
2354.00,3700.00,0.00,0.00
2355.00,3552.00,0.00,0.00
2356.00,3499.00,0.00,0.00
2357.00,3495.00,0.00,0.00
2358.00,3582.40,0.60,0.00
2359.00,3512.20,199.80,0.00
2360.00,2794.20,1225.80,0.00
2361.00,1973.20,2761.80,0.00
2362.00,1575.80,3595.20,0.00
2363.00,1375.60,3947.40,0.00
2364.00,1374.40,4068.60,0.00
2365.00,1219.20,4081.80,0.00
2366.00,1156.60,4055.40,0.00
2367.00,1274.80,3937.20,0.00
2368.00,1419.40,3660.60,0.00
2369.00,2000.60,3002.40,0.00
2370.00,3363.00,1503.00,0.00
2371.00,4770.40,270.60,0.00
2372.00,5312.40,3.60,0.00
2373.00,5943.00,0.00,0.00
2374.00,5798.00,0.00,0.00
2375.00,5380.00,0.00,0.00
2376.00,4745.00,0.00,0.00
2377.00,4300.00,0.00,0.00
2378.00,4041.00,0.00,0.00
2379.00,3890.00,0.00,0.00
2380.00,3843.00,0.00,0.00
2381.00,3853.00,0.00,0.00
2382.00,3952.40,0.60,0.00
2383.00,4094.80,172.20,0.00
2384.00,3763.60,1127.40,0.00
2385.00,3101.20,2698.80,0.00
2386.00,2523.40,3588.60,0.00
2387.00,2262.40,3948.60,0.00
2388.00,2162.80,4087.20,0.00
2389.00,1803.80,4102.20,0.00
2390.00,1971.40,4083.60,0.00
2391.00,2145.80,3964.20,0.00
2392.00,2320.40,3720.60,0.00
2393.00,2892.80,3055.20,0.00
2394.00,4275.40,1542.60,0.00
2395.00,5579.20,268.80,0.00
2396.00,6058.00,3.00,0.00
2397.00,6458.00,0.00,0.00
2398.00,6264.00,0.00,0.00
2399.00,5747.00,0.00,0.00
2400.00,5037.00,0.00,0.00
2401.00,4576.00,0.00,0.00
2402.00,4259.00,0.00,0.00
2403.00,4085.00,0.00,0.00
2404.00,4020.00,0.00,0.00
2405.00,4066.00,0.00,0.00
2406.00,4156.80,1.20,0.00
2407.00,4286.80,175.20,0.00
2408.00,4004.20,1051.80,0.00
2409.00,3502.60,2456.40,0.00
2410.00,3072.20,3205.80,0.00
2411.00,2761.20,3550.80,0.00
2412.00,2730.00,3570.00,0.00
2413.00,2367.40,3573.60,0.00
2414.00,2558.60,3557.40,0.00
2415.00,2692.20,3493.80,0.00
2416.00,2819.60,3278.40,0.00
2417.00,3351.80,2677.20,0.00
2418.00,4554.40,1326.60,0.00
2419.00,5614.60,239.40,0.00
2420.00,6077.40,3.60,0.00
2421.00,6457.00,0.00,0.00
2422.00,6248.00,0.00,0.00
2423.00,5746.00,0.00,0.00
2424.00,5013.00,0.00,0.00
2425.00,4552.00,0.00,0.00
2426.00,4257.00,0.00,0.00
2427.00,4157.00,0.00,0.00
2428.00,4093.00,0.00,0.00
2429.00,4051.00,0.00,0.00
2430.00,4174.80,1.20,0.00
2431.00,4329.80,163.20,0.00
2432.00,4141.00,954.00,0.00
2433.00,3756.20,2278.80,0.00
2434.00,3210.40,3048.60,0.00
2435.00,2912.60,3428.40,0.00
2436.00,2817.40,3546.60,0.00
2437.00,2317.80,3565.20,0.00
2438.00,2429.20,3613.80,0.00
2439.00,2591.20,3514.80,0.00
2440.00,2679.40,3276.60,0.00
2441.00,3180.40,2697.60,0.00
2442.00,4286.00,1392.00,0.00
2443.00,5400.60,257.40,0.00
2444.00,5856.80,4.20,0.00
2445.00,6361.00,0.00,0.00
2446.00,6204.00,0.00,0.00
2447.00,5727.00,0.00,0.00
2448.00,5045.00,0.00,0.00
2449.00,4612.00,0.00,0.00
2450.00,4296.00,0.00,0.00
2451.00,4125.00,0.00,0.00
2452.00,4080.00,0.00,0.00
2453.00,4093.00,0.00,0.00
2454.00,4182.20,1.80,0.00
2455.00,4246.00,204.00,0.00
2456.00,3962.80,1117.20,0.00
2457.00,3432.00,2538.00,0.00
2458.00,2935.40,3306.60,0.00
2459.00,2680.00,3657.00,0.00
2460.00,2470.20,3844.80,0.00
2461.00,1935.40,3951.60,0.00
2462.00,2062.80,3997.20,0.00
2463.00,2198.60,3890.40,0.00
2464.00,2273.20,3664.80,0.00
2465.00,2810.80,3037.20,0.00
2466.00,4080.40,1563.60,0.00
2467.00,5251.00,285.00,0.00
2468.00,5702.80,4.20,0.00
2469.00,6253.00,0.00,0.00
2470.00,6055.00,0.00,0.00
2471.00,5668.00,0.00,0.00
2472.00,5064.00,0.00,0.00
2473.00,4582.00,0.00,0.00
2474.00,4276.00,0.00,0.00
2475.00,4084.00,0.00,0.00
2476.00,3963.00,0.00,0.00
2477.00,3915.00,0.00,0.00
2478.00,3956.00,3.00,0.00
2479.00,3680.20,277.80,0.00
2480.00,2570.80,1399.20,0.00
2481.00,1631.40,2868.60,0.00
2482.00,1252.20,3682.80,0.00
2483.00,1042.80,4021.20,0.00
2484.00,983.20,4153.80,0.00
2485.00,852.60,4205.40,0.00
2486.00,662.00,4200.00,0.00
2487.00,732.80,4099.20,0.00
2488.00,817.20,3859.80,0.00
2489.00,1303.80,3253.20,0.00
2490.00,2814.20,1723.80,0.00
2491.00,4298.00,312.00,0.00
2492.00,4916.80,4.20,0.00
2493.00,5647.00,0.00,0.00
2494.00,5364.00,0.00,0.00
2495.00,5094.00,0.00,0.00
