sit,,South,South,South
Production per timestep [MWh],,Curtailment,Gas plant,Photovoltaics
stf,t,,,
2019,130,0.0,2512.19856355,2292.39047837
2019,131,0.0,1947.80174624,3320.37990801
2019,132,0.0,1719.80065956,3740.08529561
2019,133,0.0,1683.70765134,3898.75845779
2019,134,0.0,1630.36003114,3857.17558282
2019,135,0.0,1692.27536662,3590.65277231
2019,136,0.0,2509.23188235,2810.5624683
2019,137,0.0,3920.90485557,1315.01886342
2019,138,0.0,5096.93871034,232.993848534
2019,139,0.0,6263.99631076,6.9463021736
2019,140,0.0,6619.32831365,0.0
2019,141,0.0,6717.0237747,0.0
2019,142,0.0,6514.25961026,0.0
2019,143,0.0,6244.21460944,0.0
2019,144,0.0,5938.22505219,0.0
2019,145,0.0,5441.45284932,0.0
2019,146,0.0,4899.51953709,0.0
2019,147,0.0,4407.35561068,0.0
2019,148,0.0,4168.64688981,0.0
2019,149,0.0,4034.08521705,0.0
2019,150,0.0,4006.43555826,0.0
2019,151,0.0,3986.15914182,0.0
2019,152,0.0,3983.45913941,59.8426305707
2019,153,0.0,3194.86292773,771.941452941
2019,154,0.0,1798.68711852,2290.69741611
2019,155,0.0,1263.17443606,3310.07912734
2019,156,0.0,1196.2374423,3732.77506417
2019,157,0.0,1276.74825363,3876.22648901
2019,158,0.0,1337.63393781,3848.52039537
2019,159,0.0,1412.46841098,3578.29500011
2019,160,0.0,2102.54483415,2803.42628999
2019,161,0.0,3561.00967096,1280.44558267
2019,162,0.0,4706.54096077,222.471545697
2019,163,0.0,5743.78715027,7.34187746822
2019,164,0.0,6156.65735661,0.0
2019,165,0.0,6268.17764705,0.0
2019,166,0.0,6319.79034346,0.0
2019,167,0.0,6080.1599673,0.0
2019,168,0.0,5655.27687727,0.0
2019,169,0.0,5104.12701211,0.0
2019,170,0.0,4576.01852928,0.0
2019,171,0.0,4301.36525199,0.0
2019,172,0.0,4121.64246988,0.0
2019,173,0.0,4055.28328879,0.0
2019,174,0.0,4014.7304559,0.0
2019,175,0.0,4157.5870263,0.0
2019,176,0.0,4591.02783537,57.8014620505
2019,177,0.0,4742.62181772,797.448147938
2019,178,0.0,4024.25346003,2337.0113716
2019,179,0.0,3367.95212284,3366.58310243
2019,180,0.0,3078.86554148,3763.50335305
2019,181,0.0,3004.30105901,3903.50536133
2019,182,0.0,2605.14339012,3847.36531551
2019,183,0.0,3062.51563719,3592.75723288
2019,184,0.0,4039.7686189,2821.95503679
2019,185,0.0,5485.81211031,1318.76891722
2019,186,0.0,6588.00726347,223.025351109
2019,187,0.0,7184.82880705,7.76909878641
2019,188,0.0,7354.80923739,0.0
2019,189,0.0,7322.55130214,0.0
2019,190,0.0,7034.07319546,0.0
2019,191,0.0,6738.22184644,0.0
2019,192,0.0,6379.6979375,0.0
2019,193,0.0,5545.59989742,0.0
2019,194,0.0,4999.97996402,0.0
2019,195,0.0,4643.29936566,0.0
2019,196,0.0,4471.87148118,0.0
2019,197,0.0,4378.7842966,0.0
2019,198,0.0,4336.38815312,0.0
2019,199,0.0,4478.32306823,0.0
2019,200,0.0,4769.23160835,59.3204711818
2019,201,0.0,4907.05719616,771.261063434
2019,202,0.0,4175.85203358,2333.79930021
2019,203,0.0,3432.63784471,3372.86483811
2019,204,0.0,3118.97448659,3786.06696786
2019,205,0.0,3042.04047296,3929.36016258
2019,206,0.0,2583.15696381,3878.56829475
2019,207,0.0,3013.33057822,3621.66587541
2019,208,0.0,3934.85310042,2850.37316595
2019,209,0.0,5384.30330342,1322.58226306
2019,210,0.0,6510.06143599,241.063584544
2019,211,0.0,7213.59391788,8.49695732852
2019,212,0.0,7462.64290666,0.0
2019,213,0.0,7442.36649022,0.0
2019,214,0.0,7211.0310117,0.0
2019,215,0.0,6860.80200039,0.0
2019,216,0.0,6461.72525856,0.0
2019,217,0.0,5676.47494901,0.0
2019,218,0.0,5080.1639745,0.0
2019,219,0.0,4721.64006556,0.0
2019,220,0.0,4490.30458704,0.0
2019,221,0.0,4403.66898951,0.0
2019,222,0.0,4439.61354593,0.0
2019,223,0.0,4514.26762465,0.0
2019,224,0.0,4833.43129977,52.2634079257
2019,225,0.0,5026.34449224,714.646327268
2019,226,0.0,4343.42920907,2176.36033295
2019,227,0.0,3639.5623676,3189.90335284
2019,228,0.0,3427.18042102,3546.0635251
2019,229,0.0,3363.05269085,3636.91925877
2019,230,0.0,2968.13335541,3531.37977017
2019,231,0.0,3508.55359356,3169.76065883
2019,232,0.0,4501.16400309,2352.26475496
2019,233,0.0,5885.56482062,915.329585736
2019,234,0.0,6642.93804376,136.758290857
2019,235,0.0,7218.81943238,4.19309812301
2019,236,0.0,7416.56014202,0.0
2019,237,0.0,7409.18689967,0.0
2019,238,0.0,7223.0125305,0.0
2019,239,0.0,6898.5898674,0.0
2019,240,0.0,6499.51312557,0.0
2019,241,0.0,5639.60873729,0.0
2019,242,0.0,5049.74934983,0.0
2019,243,0.0,4694.91206206,0.0
2019,244,0.0,4532.70073051,0.0
2019,245,0.0,4415.65050831,0.0
2019,246,0.0,4412.88554243,0.0
2019,247,0.0,4513.34596936,0.0
2019,248,0.0,4845.16385215,46.060787306
2019,249,0.0,5165.26788028,541.621693399
2019,250,0.0,4947.17429592,1513.62930735
2019,251,0.0,4470.30381922,2314.92244715
2019,252,0.0,4121.28373041,2769.01123936
2019,253,0.0,3950.98415345,2951.29233512
2019,254,0.0,3397.12463267,2953.08033545
2019,255,0.0,3777.95509856,2721.55802701
2019,256,0.0,4571.36444241,2031.37407596
2019,257,0.0,5599.89914885,915.282116701
2019,258,0.0,6366.72836324,185.319114025
2019,259,0.0,7020.06604999,9.39886900027
2019,260,0.0,7321.62964685,0.0
2019,261,0.0,7354.80923739,0.0
2019,262,0.0,7100.43237655,0.0
2019,263,0.0,6856.19372393,0.0
2019,264,0.0,6481.08001972,0.0
2019,265,0.0,5625.7839079,0.0
2019,266,0.0,5044.21941807,0.0
2019,267,0.0,4719.79675497,0.0
2019,268,0.0,4552.05549166,0.0
2019,269,0.0,4446.06513298,0.0
2019,270,0.0,4412.88554243,0.0
2019,271,0.0,4516.11093524,0.0
2019,272,0.0,4844.44747428,56.9153733905
2019,273,0.0,4909.43470911,766.118584604
2019,274,0.0,4261.26101174,2240.09542442
2019,275,0.0,3563.4497603,3265.09430484
2019,276,0.0,3140.79148326,3737.5219677
2019,277,0.0,2974.86368103,3897.91983817
2019,278,0.0,2509.39500297,3823.29851459
2019,279,0.0,2963.28885836,3502.12302138
2019,280,0.0,3730.48507919,2794.83439459
2019,281,0.0,5034.2045002,1434.89400071
2019,282,0.0,6101.36947331,322.567918248
2019,283,0.0,6883.24952776,13.4970290526
2019,284,0.0,7278.31184808,0.0
2019,285,0.0,7219.32590933,0.0
2019,286,0.0,6956.65415085,0.0
2019,287,0.0,6683.84418415,0.0
2019,288,0.0,6361.26483164,0.0
2019,289,0.0,5669.10170667,0.0
2019,290,0.0,5129.01170502,0.0
2019,291,0.0,4746.52475847,0.0
2019,292,0.0,4474.63644706,0.0
2019,293,0.0,4358.50788015,0.0
2019,294,0.0,4274.6372485,0.0
2019,295,0.0,4285.69711201,0.0
2019,296,0.0,4363.94048408,62.7698877509
2019,297,0.0,3629.05021436,859.411062088
2019,298,0.0,2433.00409295,2483.10523941
2019,299,0.0,1889.13420483,3476.74291047
2019,300,0.0,1638.38971761,3862.04907045
2019,301,0.0,1596.62312083,3949.89843188
2019,302,0.0,1524.00769576,3910.07191122
2019,303,0.0,1578.79847418,3657.12524482
2019,304,0.0,2225.88992866,2971.32426804
2019,305,0.0,3575.22779552,1547.33232245
2019,306,0.0,4870.43679502,341.523886367
2019,307,0.0,6126.09584193,13.9717194061
2019,308,0.0,6563.10734078,0.0
2019,309,0.0,6668.17604418,0.0
2019,310,0.0,6532.69271612,0.0
2019,311,0.0,6259.88274942,0.0
2019,312,0.0,5945.59829454,0.0
2019,313,0.0,5295.83131304,0.0
2019,314,0.0,4802.74573133,0.0
2019,315,0.0,4346.52636134,0.0
2019,316,0.0,4108.73929578,0.0
2019,317,0.0,4058.96990996,0.0
2019,318,0.0,3996.29735004,0.0
2019,319,0.0,4001.8272818,0.0
2019,320,0.0,3892.81247867,62.0103831853
2019,321,0.0,3163.68375329,801.27731679
2019,322,0.0,1866.42696281,2286.55178702
2019,323,0.0,1380.00916531,3255.916958
2019,324,0.0,1209.57372636,3681.65091309
2019,325,0.0,1386.4959605,3784.911888
2019,326,0.0,1449.42715553,3745.02207529
2019,327,0.0,1441.01060937,3511.96493471
2019,328,0.0,2062.32539363,2877.74697634
2019,329,0.0,3260.94277834,1562.07936943
2019,330,0.0,4631.87818191,346.903710373
2019,331,0.0,5858.19870953,14.5888168657
2019,332,0.0,6265.41268118,0.0
2019,333,0.0,6389.83614572,0.0
2019,334,0.0,6404.5826304,0.0
2019,335,0.0,6190.75860245,0.0
2019,336,0.0,5779.70034181,0.0
2019,337,0.0,5002.74492989,0.0
2019,338,0.0,4573.2535634,0.0
2019,339,0.0,4281.08883555,0.0
2019,340,0.0,4150.21378396,0.0
2019,341,0.0,4084.77625816,0.0
2019,342,0.0,4115.19088283,0.0
2019,343,0.0,4195.37489331,0.0
2019,344,0.0,4655.08847799,66.5515875675
2019,345,0.0,4767.86300493,888.335527631
2019,346,0.0,3925.08684967,2535.7167536
2019,347,0.0,3374.76929511,3530.27215934
2019,348,0.0,3178.22463702,3911.14787602
2019,349,0.0,3125.8477971,4033.5705182
2019,350,0.0,2693.42231622,4008.85497379
2019,351,0.0,3046.08446282,3789.83284466
2019,352,0.0,3825.92059915,3139.95010463
2019,353,0.0,5267.94448327,1655.53007704
2019,354,0.0,6610.76717442,343.122010557
2019,355,0.0,7273.0186992,14.5097018068
2019,356,0.0,7563.10333359,0.0
2019,357,0.0,7530.84539834,0.0
2019,358,0.0,7323.47295743,0.0
2019,359,0.0,6967.71401437,0.0
2019,360,0.0,6542.83092434,0.0
2019,361,0.0,5663.57177491,0.0
2019,362,0.0,5065.41748981,0.0
2019,363,0.0,4711.50185734,0.0
2019,364,0.0,4530.85741993,0.0
2019,365,0.0,4449.75175415,0.0
2019,366,0.0,4417.4938189,0.0
2019,367,0.0,4451.59506474,0.0
2019,368,0.0,4766.39914867,65.8395520372
2019,369,0.0,4862.14182003,862.25920421
2019,370,0.0,4091.29146884,2481.03242487
2019,371,0.0,3434.42134667,3489.05321364
2019,372,0.0,3134.36563811,3892.33431501
2019,373,0.0,3078.35328552,4023.00074633
2019,374,0.0,2610.21723508,3982.38307507
2019,375,0.0,3049.20314246,3746.16133214
2019,376,0.0,3907.64995391,3070.20226868
2019,377,0.0,5323.75266756,1588.66202923
2019,378,0.0,6596.82780391,338.62827521
2019,379,0.0,7287.06897137,15.2059143253
2019,380,0.0,7586.14471591,0.0
2019,381,0.0,7559.41671242,0.0
2019,382,0.0,7293.97998806,0.0
2019,383,0.0,6963.10573791,0.0
2019,384,0.0,6515.18126555,0.0
2019,385,0.0,5688.45646782,0.0
2019,386,0.0,5078.32066391,0.0
2019,387,0.0,4745.60310317,0.0
2019,388,0.0,4554.82045754,0.0
2019,389,0.0,4500.44279526,0.0
2019,390,0.0,4471.87148118,0.0
2019,391,0.0,4527.17079875,0.0
2019,392,0.0,4864.71940782,70.7446856905
2019,393,0.0,4905.13013156,893.003316108
2019,394,0.0,4011.96932049,2493.07373684
2019,395,0.0,3405.35994095,3478.48344177
2019,396,0.0,3150.54039562,3884.45445514
2019,397,0.0,3041.17075414,4019.63044482
2019,398,0.0,2551.42887312,3987.71543005
2019,399,0.0,2918.05447619,3763.94639738
2019,400,0.0,3718.74071857,3110.72500186
2019,401,0.0,5139.45086524,1651.30533289
2019,402,0.0,6414.00692922,361.081128933
2019,403,0.0,7108.88886261,15.5065515493
2019,404,0.0,7486.60594428,0.0
2019,405,0.0,7413.79517614,0.0
2019,406,0.0,7158.49666,0.0
2019,407,0.0,6868.17524274,0.0
2019,408,0.0,6420.25077038,0.0
2019,409,0.0,5651.5902561,0.0
2019,410,0.0,5090.30218272,0.0
2019,411,0.0,4754.8196561,0.0
2019,412,0.0,4573.2535634,0.0
2019,413,0.0,4431.31864829,0.0
2019,414,0.0,4411.04223185,0.0
2019,415,0.0,4508.7376929,0.0
2019,416,0.0,4879.86552899,67.5800833336
2019,417,0.0,4969.44591042,849.885608994
2019,418,0.0,4129.25031182,2457.82006658
2019,419,0.0,3433.06981462,3455.38184456
2019,420,0.0,3057.77037414,3865.70418617
2019,421,0.0,3000.30636564,3995.05730751
2019,422,0.0,2473.5876524,3959.56629208
2019,423,0.0,2812.1327359,3727.93322256
2019,424,0.0,3654.5350134,3068.01869306
2019,425,0.0,5106.47908246,1595.79820755
2019,426,0.0,6368.52222128,341.128311072
2019,427,0.0,7019.74146739,15.2533833607
2019,428,0.0,7424.85503965,0.0
2019,429,0.0,7398.12703616,0.0
2019,430,0.0,7172.32148939,0.0
2019,431,0.0,6861.72365569,0.0
2019,432,0.0,6389.83614572,0.0
2019,433,0.0,5631.31383966,0.0
2019,434,0.0,5070.02576628,0.0
2019,435,0.0,4727.16999732,0.0
2019,436,0.0,4516.11093524,0.0
2019,437,0.0,4461.73327296,0.0
2019,438,0.0,4447.90844356,0.0
2019,439,0.0,4537.30900698,0.0
2019,440,0.0,4871.00492354,69.0674464413
2019,441,0.0,4858.49482667,860.376265807
2019,442,0.0,4036.27935524,2418.07266098
2019,443,0.0,3374.35889629,3400.72916186
2019,444,0.0,3033.44607816,3796.01964227
2019,445,0.0,2911.89804396,3907.42946825
2019,446,0.0,2407.46484794,3880.98921556
2019,447,0.0,2742.74367439,3621.28612313
2019,448,0.0,3503.51784557,2969.26727651
2019,449,0.0,4806.61793541,1564.78510445
2019,450,0.0,5914.02321725,349.546153342
2019,451,0.0,6641.79936468,19.0034371537
2019,452,0.0,7102.27568713,0.0
2019,453,0.0,7107.80561889,0.0
2019,454,0.0,6847.89882629,0.0
2019,455,0.0,6586.14872311,0.0
2019,456,0.0,6237.76302239,0.0
2019,457,0.0,5573.2495562,0.0
2019,458,0.0,5061.73086864,0.0
2019,459,0.0,4698.59868324,0.0
2019,460,0.0,4446.06513298,0.0
2019,461,0.0,4297.67863082,0.0
2019,462,0.0,4261.7340744,0.0
2019,463,0.0,4248.8309003,0.0
2019,464,0.0,4292.41893996,70.6972166552
2019,465,0.0,3572.56374918,871.65807321
2019,466,0.0,2334.17329566,2485.16223095
2019,467,0.0,1882.46236078,3443.78357693
2019,468,0.0,1650.87533908,3816.38385844
2019,469,0.0,1562.45998869,3913.09410647
2019,470,0.0,1486.28915002,3855.62492766
2019,471,0.0,1543.45673852,3615.96959117
2019,472,0.0,2146.38462079,3014.88501948
2019,473,0.0,3366.60447777,1674.84997443
2019,474,0.0,4688.07744311,397.616463144
2019,475,0.0,5692.52199783,21.7408181925
2019,476,0.0,6476.47174325,0.0
2019,477,0.0,6509.6513338,0.0
2019,478,0.0,6335.45848344,0.0
2019,479,0.0,6002.7409227,0.0
2019,480,0.0,5683.84819135,0.0
2019,481,0.0,5257.12179074,0.0
2019,482,0.0,4695.83371736,0.0
2019,483,0.0,4360.35119074,0.0
2019,484,0.0,4113.34757224,0.0
2019,485,0.0,3962.1961042,0.0
2019,486,0.0,3929.01651366,0.0
2019,487,0.0,3934.54644542,0.0
2019,488,0.0,3942.64109536,64.7161182005
2019,489,0.0,3111.54218088,770.469912845
2019,490,0.0,1790.69607584,2309.7483223
2019,491,0.0,1211.26502304,3311.29749925
2019,492,0.0,1099.00112974,3724.94267333
2019,493,0.0,1161.59035737,3835.62464077
2019,494,0.0,1157.11749024,3811.52619382
2019,495,0.0,1212.96533328,3534.48108048
2019,496,0.0,1747.94571953,2885.2154379
2019,497,0.0,2934.69711057,1548.23423412
2019,498,0.0,4239.57284568,362.252031805
2019,499,0.0,5414.85072705,18.3072246352
2019,500,0.0,6032.23389207,0.0
2019,501,0.0,6203.66177655,0.0
2019,502,0.0,6175.09046247,0.0
2019,503,0.0,5992.60271448,0.0
2019,504,0.0,5552.97313976,0.0
2019,505,0.0,4940.07236998,0.0
2019,506,0.0,4524.40583288,0.0
2019,507,0.0,4184.31502979,0.0
2019,508,0.0,4048.83170174,0.0
2019,509,0.0,4021.18204295,0.0
2019,510,0.0,4001.8272818,0.0
2019,511,0.0,4111.50426165,0.0
2019,512,0.0,4546.13137488,67.6750214043
2019,513,0.0,4615.74508348,818.334523494
2019,514,0.0,3924.19420043,2397.43945361
2019,515,0.0,3394.83387354,3380.25418461
2019,516,0.0,3163.57465219,3766.35149517
2019,517,0.0,3137.57407004,3880.83098544
2019,518,0.0,2658.21964483,3847.7450678
2019,519,0.0,3119.72799288,3631.39702766
2019,520,0.0,3830.92376351,3053.8412745
2019,521,0.0,5134.13250582,1704.54976755
2019,522,0.0,6479.92109794,413.138837705
2019,523,0.0,7047.07046418,22.0256324047
2019,524,0.0,7547.43519361,0.0
2019,525,0.0,7549.27850419,0.0
2019,526,0.0,7350.20096093,0.0
2019,527,0.0,6995.36367316,0.0
2019,528,0.0,6519.78954202,0.0
2019,529,0.0,5717.94943719,0.0
2019,530,0.0,5157.5830191,0.0
2019,531,0.0,4834.08201129,0.0
2019,532,0.0,4578.78349516,0.0
2019,533,0.0,4449.75175415,0.0
2019,534,0.0,4471.87148118,0.0
2019,535,0.0,4573.2535634,0.0
2019,536,0.0,4899.55243281,70.934561832
2019,537,0.0,4939.3805166,820.043408767
2019,538,0.0,4280.51760161,2324.98588265
2019,539,0.0,3833.7003197,3268.57536743
2019,540,0.0,3564.52328893,3639.13448042
2019,541,0.0,3592.03542977,3718.53435356
2019,542,0.0,3129.91912159,3695.85997767
2019,543,0.0,3429.35265654,3530.06646019
2019,544,0.0,4101.33045989,3008.31846959
2019,545,0.0,5281.16424271,1755.67391862
2019,546,0.0,6574.97719318,438.819585832
2019,547,0.0,7258.78611096,23.2123582885
2019,548,0.0,7845.12985322,0.0
2019,549,0.0,7848.81647439,0.0
2019,550,0.0,7630.38416997,0.0
2019,551,0.0,7292.13667747,0.0
2019,552,0.0,6758.49826288,0.0
2019,553,0.0,5860.80600759,0.0
2019,554,0.0,5247.90523781,0.0
2019,555,0.0,4891.22463945,0.0
2019,556,0.0,4732.69992907,0.0
2019,557,0.0,4563.11535518,0.0
2019,558,0.0,4571.41025281,0.0
2019,559,0.0,4698.59868324,0.0
2019,560,0.0,5031.25028102,70.1117652192
2019,561,0.0,5121.19040543,754.362086848
2019,562,0.0,4559.30084102,2213.02225126
2019,563,0.0,4061.16982851,3096.4051762
2019,564,0.0,3762.05706518,3460.03381003
2019,565,0.0,3702.83125092,3526.63286663
2019,566,0.0,3305.34088693,3418.13447482
2019,567,0.0,3714.63554527,3195.01418564
2019,568,0.0,4382.02594037,2644.67401275
2019,569,0.0,5463.12314564,1516.57238754
2019,570,0.0,6628.74308436,403.486800516
2019,571,0.0,7360.53996367,24.6838983845
2019,572,0.0,7967.71000717,0.0
2019,573,0.0,7999.04628713,0.0
2019,574,0.0,7733.60956277,0.0
2019,575,0.0,7393.51875969,0.0
2019,576,0.0,6916.10131797,0.0
2019,577,0.0,6012.87913092,0.0
2019,578,0.0,5326.2459377,0.0
2019,579,0.0,4964.95706288,0.0
2019,580,0.0,4803.66738663,0.0
2019,581,0.0,4651.5942633,0.0
2019,582,0.0,4650.672608,0.0
2019,583,0.0,4752.05469022,0.0
2019,584,0.0,5079.80955787,62.105321256
2019,585,0.0,5251.70840042,678.221754139
2019,586,0.0,4684.00241862,2077.26081014
2019,587,0.0,4113.78232671,3017.98632979
2019,588,0.0,3951.41915411,3369.28883744
2019,589,0.0,3948.96490039,3415.98254522
2019,590,0.0,3557.13006823,3333.16490154
2019,591,0.0,4001.43839621,3040.92969688
2019,592,0.0,4671.83278925,2446.11103786
2019,593,0.0,5744.55415436,1366.01643041
2019,594,0.0,6753.78841041,381.666867265
2019,595,0.0,7317.09151963,27.5795095412
2019,596,0.0,8004.57621889,0.0
2019,597,0.0,8071.85705527,0.0
2019,598,0.0,7834.99164499,0.0
2019,599,0.0,7468.17283842,0.0
2019,600,0.0,7011.03181314,0.0
2019,601,0.0,6094.90645199,0.0
2019,602,0.0,5335.46249063,0.0
2019,603,0.0,4945.60230173,0.0
2019,604,0.0,4830.39539012,0.0
2019,605,0.0,4732.69992907,0.0
2019,606,0.0,4701.36364911,0.0
2019,607,0.0,4784.31262548,0.0
2019,608,0.0,5123.51495014,63.5610383402
2019,609,0.0,5353.20558605,667.968442502
2019,610,0.0,5157.58330294,1859.90009725
2019,611,0.0,4592.10452254,2735.05505607
2019,612,0.0,4281.17042309,3151.0578589
2019,613,0.0,4314.77554806,3194.87177854
2019,614,0.0,3931.35869874,3099.94953084
2019,615,0.0,4243.5937531,2902.92138809
2019,616,0.0,4839.240223,2486.99770031
2019,617,0.0,5728.2766021,1476.30282255
2019,618,0.0,6703.49097656,432.885956413
2019,619,0.0,7300.51740679,31.2504482753
2019,620,0.0,8019.32270358,0.0
2019,621,0.0,8071.85705527,0.0
2019,622,0.0,7873.7011673,0.0
2019,623,0.0,7517.02056894,0.0
2019,624,0.0,7074.62602835,0.0
2019,625,0.0,6259.88274942,0.0
2019,626,0.0,5516.10692804,0.0
2019,627,0.0,5151.13143205,0.0
2019,628,0.0,4827.63042424,0.0
2019,629,0.0,4705.97192558,0.0
2019,630,0.0,4599.98156689,0.0
2019,631,0.0,4561.27204459,0.0
2019,632,0.0,4621.55279939,68.7509862056
2019,633,0.0,4017.09653592,605.926413293
2019,634,0.0,3521.17665294,1698.15727079
2019,635,0.0,3359.35839863,2489.46609015
2019,636,0.0,3205.04003264,2864.06007115
2019,637,0.0,3296.78477609,2903.19037929
2019,638,0.0,3400.74491557,2721.8111952
2019,639,0.0,3585.0859704,2355.90404767
2019,640,0.0,4183.02359021,1710.04035264
2019,641,0.0,5000.9118671,768.65026649
2019,642,0.0,5666.04574131,162.502331032
2019,643,0.0,6351.86596264,9.39886900027
2019,644,0.0,7364.94744561,0.0
2019,645,0.0,7454.34800902,0.0
2019,646,0.0,7279.23350337,0.0
2019,647,0.0,6921.63124972,0.0
2019,648,0.0,6569.55892783,0.0
2019,649,0.0,5984.30781684,0.0
