Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-05 08:00:00,720.63,5029.58,0.00,0.00
2016-01-05 09:00:00,2236.63,4274.86,0.00,0.00
2016-01-05 10:00:00,3284.70,3540.16,0.00,0.00
2016-01-05 11:00:00,3729.97,3179.68,0.00,0.00
2016-01-05 12:00:00,3857.35,3083.64,0.00,0.00
2016-01-05 13:00:00,3815.37,2608.57,0.00,0.00
2016-01-05 14:00:00,3548.93,2960.72,0.00,0.00
2016-01-05 15:00:00,2777.37,3809.70,0.00,0.00
2016-01-05 16:00:00,1296.84,5187.01,0.00,0.00
2016-01-05 17:00:00,235.92,6214.74,0.00,0.00
2016-01-05 18:00:00,7.47,7060.71,0.00,0.00
2016-01-05 19:00:00,0.00,7293.98,0.00,0.00
2016-01-05 20:00:00,0.00,7278.31,0.00,0.00
2016-01-05 21:00:00,0.00,7022.09,0.00,0.00
2016-01-05 22:00:00,0.00,6733.61,0.00,0.00
2016-01-05 23:00:00,0.00,6457.12,0.00,0.00
2016-01-06 00:00:00,0.00,5739.15,0.00,0.00
2016-01-06 01:00:00,0.00,5235.92,0.00,0.00
2016-01-06 02:00:00,0.00,4851.59,0.00,0.00
2016-01-06 03:00:00,0.00,4611.96,0.00,0.00
2016-01-06 04:00:00,0.00,4397.22,0.00,0.00
2016-01-06 05:00:00,0.00,4285.70,0.00,0.00
2016-01-06 06:00:00,0.00,4264.50,0.00,0.00
2016-01-06 07:00:00,58.40,4361.86,0.00,0.00
2016-01-06 08:00:00,784.09,3637.09,0.00,0.00
2016-01-06 09:00:00,2292.39,2512.20,0.00,0.00
2016-01-06 10:00:00,3320.38,1947.80,0.00,0.00
2016-01-06 11:00:00,3740.09,1719.80,0.00,0.00
2016-01-06 12:00:00,3898.76,1683.71,0.00,0.00
2016-01-06 13:00:00,3857.18,1630.36,0.00,0.00
2016-01-06 14:00:00,3590.65,1692.28,0.00,0.00
2016-01-06 15:00:00,2810.56,2509.23,0.00,0.00
