sit,,Mid,Mid,Mid,North,North,North,South,South,South
Production per timestep [MWh],,Curtailment,Gas plant,Photovoltaics,Curtailment,Gas plant,Photovoltaics,Curtailment,Gas plant,Photovoltaics
stf,t,,,,,,,,,
2019,1,0.0,43102.4900625,0.0,0.0,11001.19176,0.0,0.0,4877.39981006,0.0
2019,2,0.0,41692.002871,0.0,0.0,10769.3745031,0.0,0.0,4646.98598683,0.0
2019,3,0.0,40592.8221168,0.0,0.0,10637.3361951,0.0,0.0,4360.35119074,0.0
2019,4,0.0,40218.1014052,0.0,0.0,10584.8209589,0.0,0.0,4098.60108755,0.0
2019,5,0.0,39606.0575761,0.0,0.0,10653.8409836,0.0,0.0,3836.85098437,0.0
2019,6,0.0,37483.6010325,0.0,0.0,10987.6878421,0.0,0.0,3720.72241746,0.0
2019,7,0.0,37678.647967,0.0,0.0,11253.2648936,0.0,0.0,3643.30337286,0.0
2019,8,0.0,38082.1933488,0.0,0.0,11371.0490661,0.0,0.0,3549.85393042,60.2698518889
2019,9,0.0,39738.7986282,235.253903173,0.0,11440.0690908,0.0,0.0,2731.72441868,792.685421391
2019,10,0.0,41005.6455676,1324.3433355,0.0,11774.1963026,1.97029970229,0.0,1083.72582958,2343.91020474
2019,11,0.0,43548.0047868,1831.63421562,0.0,12114.5523611,18.7178471717,0.0,370.657977042,3364.81092511
2019,12,0.0,44266.4469404,2125.89880581,0.0,12333.4185798,38.4208441946,0.0,297.601960626,3779.80105519
2019,13,0.0,44088.6654325,2510.2571163,0.0,12482.8027362,44.3317433015,0.0,487.457609142,3919.89800153
2019,14,0.0,43911.0052534,1891.39557761,0.0,12696.3422427,26.5990459809,0.0,587.631409861,3863.96365488
2019,15,0.0,44879.0835245,895.453458702,0.0,13211.0980529,0.985149851144,0.0,613.72933531,3582.56721329
2019,16,0.0,48060.704239,37.1011563901,0.0,13542.9291906,0.0,0.0,1345.15983237,2749.75463401
2019,17,0.0,52560.8251533,0.0,0.0,13572.1876793,0.0,0.0,2856.6905678,1187.53285747
2019,18,0.0,53885.7991568,0.0,0.0,13437.1485006,0.0,0.0,3983.92947196,173.65755434
2019,19,0.0,53289.1284852,0.0,0.0,13200.0797202,0.0,0.0,5075.41707096,4.74690353549
2019,20,0.0,51142.6513831,0.0,0.0,12928.5009274,0.0,0.0,5368.64208118,0.0
2019,21,0.0,50796.7553416,0.0,0.0,12491.1240319,0.0,0.0,5477.39740574,0.0
2019,22,0.0,51205.104835,0.0,0.0,12084.5060604,0.0,0.0,5529.93175744,0.0
2019,23,0.0,47946.9562884,0.0,0.0,11586.3615344,0.0,0.0,5475.55409515,0.0
2019,24,0.0,44986.6626664,0.0,0.0,11222.5059695,0.0,0.0,5224.86385548,0.0
2019,25,0.0,42641.2953405,0.0,0.0,11049.2056902,0.0,0.0,4693.06875148,0.0
2019,26,0.0,41620.902018,0.0,0.0,10956.1787004,0.0,0.0,4303.20856258,0.0
2019,27,0.0,41525.7806066,0.0,0.0,10958.4293534,0.0,0.0,3989.84576299,0.0
2019,28,0.0,41841.8911556,0.0,0.0,11154.2361625,0.0,0.0,3811.96629146,0.0
2019,29,0.0,43825.0284603,0.0,0.0,11724.4015838,0.0,0.0,3731.78228098,0.0
2019,30,0.0,48708.8884021,0.0,0.0,13035.7820527,0.0,0.0,3714.27083041,0.0
2019,31,0.0,54815.8751795,0.0,0.0,14285.6446736,0.0,0.0,3827.63443144,0.0
2019,32,0.0,58782.149789,0.0,0.0,14849.0581359,0.0,0.0,4081.03585758,61.804684032
2019,33,0.0,59730.5230499,1106.82571903,0.0,14930.0816431,0.0,0.0,3912.9777446,798.52411274
2019,34,0.0,60342.7481405,2297.00180689,0.0,15000.0,52.2129421106,0.0,3135.93542549,2351.60018847
2019,35,0.0,61935.8395025,2763.71806844,0.0,15000.0,130.039780351,0.0,2686.65912581,3363.08621682
2019,36,0.0,61872.3035823,2970.71351196,0.0,14945.4697663,171.416074099,0.0,2502.81894044,3768.12367249
2019,37,0.0,61890.6884785,2347.97136536,0.0,14907.435771,186.193321866,0.0,2464.27420884,3907.12883102
