sit,,South
Production per timestep [MWh],,Gas plant
stf,t,
2019,625,1251.97654988
2019,626,1103.22138561
2019,627,1030.22628641
2019,628,965.526084848
2019,629,941.194385116
2019,630,919.996313379
2019,631,912.254408918
2019,632,924.310559879
2019,633,803.419307185
2019,634,704.235330588
2019,635,671.871679726
2019,636,641.008006528
2019,637,659.356955217
2019,638,680.148983115
2019,639,717.01719408
2019,640,836.604718041
2019,641,1000.18237342
2019,642,1133.20914826
2019,643,1270.37319253
2019,644,1472.98948912
2019,645,1490.8696018
2019,646,1455.84670067
2019,647,1384.32624994
2019,648,1313.91178557
2019,649,1196.86156337
2019,650,1054.00499297
2019,651,953.728897099
2019,652,887.922709186
2019,653,868.936610152
2019,654,866.908968507
2019,655,861.194705691
2019,656,851.669196367
2019,657,731.364123001
2019,658,551.310619961
2019,659,496.089186849
2019,660,521.132547337
2019,661,571.762030238
2019,662,608.939103972
2019,663,621.744968803
2019,664,700.93077048
2019,665,863.429549489
2019,666,1073.76915318
2019,667,1270.26229087
2019,668,1402.02203157
2019,669,1428.01271083
2019,670,1430.77767671
2019,671,1373.26638643
2019,672,1281.2851882
2019,673,1117.78353924
2019,674,997.415357983
2019,675,921.470961847
2019,676,892.899647767
2019,677,876.678514612
2019,678,879.812142608
2019,679,893.636972002
2019,680,991.137458569
2019,681,1062.30379574
2019,682,1051.54114899
2019,683,996.400764673
2019,684,962.60843474
2019,685,960.51248396
2019,686,872.904513152
2019,687,933.548734741
2019,688,1031.21936621
2019,689,1210.22630437
2019,690,1419.03091342
2019,691,1520.67558566
2019,692,1633.91050326
2019,693,1633.91050326
2019,694,1590.22404238
2019,695,1519.44091588
2019,696,1416.21552308
2019,697,1241.28534849
2019,698,1095.66381221
2019,699,1021.3783956
2019,700,972.530665074
2019,701,950.779600162
2019,702,949.489282752
2019,703,968.291050727
2019,704,1019.34288153
2019,705,995.614165328
2019,706,858.659500704
2019,707,764.876525593
2019,708,722.813215288
2019,709,725.291376988
2019,710,644.937936856
2019,711,728.563444533
2019,712,858.826902989
2019,713,1086.56110115
2019,714,1353.04265937
2019,715,1482.52611363
2019,716,1613.63408682
2019,717,1626.72159198
2019,718,1587.27474544
2019,719,1522.20588176
2019,720,1421.56112378
2019,721,1228.56650544
2019,722,1084.78827975
2019,723,1010.31853208
2019,724,961.47080156
2019,725,945.433999463
2019,726,940.457060881
2019,727,965.526084848
2019,728,1024.71298681
2019,729,995.522001346
2019,730,879.415793279
2019,731,780.720852337
2019,732,739.176733622
2019,733,744.663398102
2019,734,674.228046676
2019,735,759.069211496
2019,736,910.006736002
2019,737,1134.97663995
2019,738,1342.92364175
2019,739,1429.0568328
2019,740,1581.56048263
2019,741,1600.91524378
2019,742,1568.10431535
2019,743,1504.6944312
2019,744,1421.0081306
2019,745,1222.85224263
2019,746,1093.4518395
2019,747,1007.92222832
2019,748,976.401617305
2019,749,960.549146267
2019,750,956.493862978
2019,751,970.318692371
2019,752,1038.22491418
2019,753,1104.33550697
2019,754,1079.56006031
2019,755,979.979199393
2019,756,902.727810108
2019,757,873.883187517
2019,758,779.255207078
2019,759,857.318465312
2019,760,969.113613676
2019,761,1115.18440767
2019,762,1310.76139749
2019,763,1415.81174107
2019,764,1571.79093652
2019,765,1596.12263625
2019,766,1563.49603889
2019,767,1499.3488305
2019,768,1404.23400427
2019,769,1217.87530405
2019,770,1079.44267905
2019,771,1004.23560715
2019,772,964.604429555
2019,773,940.64139194
2019,774,939.535405588
2019,775,962.945450028
2019,776,1030.72253857
2019,777,1062.03194302
2019,778,953.880848591
2019,779,841.527540106
2019,780,769.477466906
2019,781,744.677877789
2019,782,647.432939891
2019,783,711.683942795
2019,784,835.652644765
2019,785,1024.4850297
2019,786,1260.68490157
2019,787,1383.17086082
2019,788,1533.81873845
2019,789,1549.85554055
2019,790,1488.10463593
2019,791,1434.83296
2019,792,1375.66269019
2019,793,1225.43287745
2019,794,1082.94496916
2019,795,989.120460347
2019,796,942.484702526
2019,797,916.309692207
2019,798,900.825883286
2019,799,900.641552228
2019,800,910.905754132
2019,801,778.985075008
2019,802,575.30789353
2019,803,503.299872481
2019,804,468.371253497
2019,805,465.246079059
2019,806,455.729982291
2019,807,456.767725019
2019,808,529.693159111
2019,809,721.819979448
2019,810,1011.24445491
2019,811,1209.49067604
2019,812,1401.83770051
2019,813,1415.10953673
2019,814,1380.27096666
2019,815,1318.88872415
2019,816,1257.6908127
2019,817,1129.39639593
2019,818,1015.11113961
2019,819,932.89948748
2019,820,880.549466842
2019,821,855.480442875
2019,822,847.369876298
2019,823,838.890647603
2019,824,825.833888792
2019,825,610.990943492
2019,826,338.751311718
2019,827,256.961870277
2019,828,243.405741653
2019,829,263.085725861
2019,830,268.164184752
2019,831,261.473606124
2019,832,339.64567287
2019,833,553.753989868
2019,834,878.134578625
2019,835,1077.18612077
2019,836,1268.19768304
2019,837,1322.39101426
2019,838,1319.07305521
2019,839,1284.23448514
2019,840,1214.18868287
2019,841,1070.22612612
2019,842,948.3832964
2019,843,891.056337182
2019,844,870.042596503
2019,845,855.480442875
2019,846,849.397517942
2019,847,872.623231323
2019,848,957.788294707
2019,849,984.154899536
2019,850,946.081734442
2019,851,858.88729275
2019,852,798.460972697
2019,853,796.405380719
2019,854,746.386837856
2019,855,819.63640162
2019,856,973.247484029
2019,857,1161.51861285
2019,858,1316.97659527
2019,859,1373.19732438
2019,860,1520.17824012
2019,861,1539.53300127
2019,862,1499.3488305
2019,863,1447.55180304
2019,864,1343.589086
2019,865,1186.53902409
2019,866,1065.4335186
2019,867,986.908487644
2019,868,945.433999463
2019,869,933.636811714
2019,870,927.922548898
2019,871,942.669033584
2019,872,1002.0926934
2019,873,1030.27790743
2019,874,939.989843696
2019,875,825.543080465
2019,876,767.010004858
2019,877,762.861742256
2019,878,672.392471038
2019,879,772.646983175
2019,880,904.245257184
2019,881,1070.30351097
2019,882,1304.44277687
2019,883,1420.45001097
2019,884,1548.01222997
2019,885,1564.60202524
2019,886,1512.80499778
2019,887,1438.88824328
2019,888,1345.61672764
2019,889,1186.72335515
2019,890,1054.18932403
2019,891,971.79334084
2019,892,928.844204191
2019,893,913.913388446
2019,894,918.890327027
2019,895,934.558467007
2019,896,998.020465602
2019,897,957.973325812
2019,898,803.7681638
2019,899,712.364579148
2019,900,679.348026629
2019,901,679.941512994
2019,902,582.966347324
2019,903,662.164126466
2019,904,820.970808095
2019,905,1026.47042576
2019,906,1345.74113452
2019,907,1480.81084293
2019,908,1582.29780686
2019,909,1576.7678751
2019,910,1515.56996365
2019,911,1449.76377574
2019,912,1353.3586321
2019,913,1183.95838927
2019,914,1054.18932403
2019,915,988.567467171
2019,916,942.300371467
2019,917,928.659873132
2019,918,922.39261714
2019,919,928.288046413
2019,920,981.060496198
2019,921,978.796549895
2019,922,869.53568599
2019,923,795.254362043
2019,924,753.873877954
2019,925,719.627113544
2019,926,620.59129186
2019,927,689.777421853
2019,928,771.895688415
2019,929,937.828170347
2019,930,1221.93672929
2019,931,1379.85676615
2019,932,1510.22436296
2019,933,1508.38105237
2019,934,1416.76851626
2019,935,1369.94842738
2019,936,1303.40491523
2019,937,1126.81576111
2019,938,1025.98667206
2019,939,952.438579689
2019,940,918.337333852
2019,941,907.461801395
2019,942,899.719896935
2019,943,911.145257965
2019,944,975.513004496
2019,945,935.07163583
2019,946,819.986616493
2019,947,707.523949574
2019,948,635.172651833
2019,949,608.61368438
2019,950,499.46972916
2019,951,565.025216804
2019,952,679.340816314
2019,953,877.989825879
2019,954,1182.74164829
2019,955,1337.28021222
2019,956,1458.61166655
2019,957,1463.58860513
2019,958,1401.28470733
2019,959,1353.17430104
2019,960,1284.78747831
2019,961,1142.66823214
2019,962,1036.30921134
2019,963,953.175903923
2019,964,906.90880822
2019,965,884.604750131
2019,966,864.881326863
2019,967,851.790657101
2019,968,852.450962515
2019,969,667.260813064
2019,970,443.582138845
2019,971,356.996897163
2019,972,323.926852574
2019,973,311.384383819
2019,974,288.345353861
2019,975,294.346339606
2019,976,401.353838212
2019,977,609.654856851
2019,978,922.667859657
2019,979,1115.61617714
2019,980,1299.90262511
2019,981,1308.75051593
2019,982,1271.88430421
2019,983,1206.26244736
2019,984,1150.59446766
2019,985,1048.47506121
2019,986,945.986992639
2019,987,866.171644273
2019,988,813.821623636
2019,989,797.969152598
2019,990,795.204186719
2019,991,790.586416448
2019,992,773.81816639
2019,993,553.087070739
2019,994,269.434149027
2019,995,196.62974157
2019,996,206.496315795
2019,997,245.158281623
2019,998,240.57218549
2019,999,223.597573899
2019,1000,312.729720784
2019,1001,507.447063356
2019,1002,827.388221073
2019,1003,1037.98826878
2019,1004,1191.33163161
2019,1005,1229.30382968
2019,1006,1219.16562146
2019,1007,1185.61736879
2019,1008,1094.3734948
2019,1009,975.111299895
2019,1010,910.226767274
2019,1011,853.452801231
2019,1012,824.512825034
2019,1013,809.766340347
2019,1014,810.135002464
2019,1015,838.877989194
2019,1016,894.093034046
2019,1017,830.272367289
2019,1018,701.859804778
2019,1019,617.841111838
2019,1020,573.863273336
2019,1021,554.525003765
2019,1022,451.327111455
2019,1023,515.088747515
2019,1024,634.016462849
2019,1025,847.350095817
2019,1026,1141.02539135
2019,1027,1251.14619011
2019,1028,1404.41833533
2019,1029,1405.33999062
2019,1030,1360.73187445
2019,1031,1301.37727358
2019,1032,1229.6724918
2019,1033,1091.42419786
2019,1034,984.143521765
2019,1035,924.235927726
2019,1036,889.95035083
2019,1037,878.890487315
2019,1038,875.756859319
2019,1039,884.588927119
2019,1040,931.030435258
2019,1041,883.122142065
2019,1042,718.238687004
2019,1043,620.538412128
2019,1044,591.001969392
2019,1045,583.837672054
2019,1046,484.769613935
2019,1047,553.250090738
2019,1048,684.777315826
2019,1049,887.970581917
2019,1050,1209.36381726
2019,1051,1349.78937927
2019,1052,1463.21994302
2019,1053,1457.13701808
2019,1054,1392.80547864
2019,1055,1336.76883683
2019,1056,1248.47425977
2019,1057,1093.4518395
2019,1058,1000.18032386
2019,1059,938.245088178
2019,1060,905.802821868
2019,1061,873.729217675
2019,1062,875.388197202
2019,1063,897.101286886
2019,1064,943.893925312
2019,1065,873.732067094
2019,1066,715.012532627
2019,1067,607.717830046
2019,1068,557.232338233
2019,1069,531.747907912
2019,1070,443.741478355
2019,1071,510.688972407
2019,1072,619.597416104
2019,1073,821.427466471
2019,1074,1104.39436615
2019,1075,1217.17936958
2019,1076,1400.5473831
2019,1077,1404.78699745
2019,1078,1339.90246483
2019,1079,1287.73677525
2019,1080,1218.24396616
2019,1081,1086.63159034
2019,1082,987.830142937
2019,1083,929.397197366
2019,1084,886.448060717
2019,1085,875.756859319
2019,1086,867.646292742
2019,1087,889.349888619
2019,1088,951.458808845
2019,1089,898.124234744
2019,1090,737.826878911
2019,1091,608.198121712
2019,1092,568.600680191
2019,1093,576.208856021
2019,1094,499.973428928
2019,1095,580.806635826
2019,1096,712.128611599
2019,1097,919.138050753
2019,1098,1200.91959599
2019,1099,1323.69339967
2019,1100,1448.10163161
2019,1101,1449.76377574
2019,1102,1380.45529771
2019,1103,1329.57992555
2019,1104,1246.26228707
2019,1105,1103.95870984
2019,1106,1003.49828292
2019,1107,938.613750296
2019,1108,896.033275763
2019,1109,880.91812896
2019,1110,876.494183554
2019,1111,892.84901413
2019,1112,933.176566744
2019,1113,861.418068235
2019,1114,688.036931048
2019,1115,586.230039468
2019,1116,554.602831729
2019,1117,539.590489236
2019,1118,446.777000584
2019,1119,533.308703515
2019,1120,658.001705816
2019,1121,884.098792429
2019,1122,1190.05585348
2019,1123,1304.03718906
2019,1124,1430.40268539
2019,1125,1429.67169036
2019,1126,1375.66269019
2019,1127,1318.88872415
2019,1128,1251.97654988
2019,1129,1110.41029689
2019,1130,1010.87152526
2019,1131,936.033115475
2019,1132,887.922709186
2019,1133,866.171644273
2019,1134,842.945930892
2019,1135,850.605555691
2019,1136,835.021426118
2019,1137,626.992847524
2019,1138,444.120233705
2019,1139,390.846967873
2019,1140,352.69521854
2019,1141,368.139062266
2019,1142,346.99854069
2019,1143,343.816440806
2019,1144,419.819492863
2019,1145,582.626384822
2019,1146,871.365544225
2019,1147,1049.86678338
2019,1148,1278.69822417
2019,1149,1299.90262511
2019,1150,1276.67691173
2019,1151,1209.02741323
2019,1152,1150.22580555
2019,1153,1044.0511158
2019,1154,940.272729823
2019,1155,867.093299566
2019,1156,825.618811385
2019,1157,800.36545636
2019,1158,789.489923903
2019,1159,789.735166529
2019,1160,754.04273495
2019,1161,466.984660343
2019,1162,226.695775567
2019,1163,166.113427906
2019,1164,172.995869547
2019,1165,189.221929258
2019,1166,170.190404291
2019,1167,138.49652736
2019,1168,186.373493344
2019,1169,344.186533418
2019,1170,676.875606011
2019,1171,914.514744144
2019,1172,1147.07951914
2019,1173,1186.35469303
2019,1174,1185.43303774
2019,1175,1161.65433118
2019,1176,1091.42419786
2019,1177,984.512183882
2019,1178,903.222187048
2019,1179,836.125681724
2019,1180,813.821623636
2019,1181,792.623551899
2019,1182,797.231828364
2019,1183,803.353512647
2019,1184,819.112354636
2019,1185,673.020183268
2019,1186,548.697492847
2019,1187,495.585312471
2019,1188,483.882438078
2019,1189,497.050345391
2019,1190,434.361600063
2019,1191,508.062777268
2019,1192,622.559012146
2019,1193,801.239996271
2019,1194,1088.51133938
2019,1195,1259.49463295
2019,1196,1378.78049518
2019,1197,1369.57976526
2019,1198,1314.83344086
2019,1199,1244.23464542
2019,1200,1165.89394553
